	question	answer	llm
0	Embaata za Janet zibiika amagi 16 buli lunaku. Alya amagi asatu buli lunaku ku kyenkya n'afumbisa amalala ana g'ateeka mu bukkeeki bwa muffin bw'akolera mikwano gye. Agasigadde agatunda mu katale k'abalimi n'abalunzi buli lunaku nga buli ggi alitunda $2. Afuna ssente mmeka buli lunaku mu katale k'abalimi n'abalunzi?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Embaata za Janet zibiika amagi 16 buli lunaku. Alya amagi asatu buli lunaku ku kyenkya n'afumbisa amalala ana g'ateeka mu bukkeeki bwa muffin bw'akolera mikwano gye. Agasigadde agatunda mu katale k'abalimi n'abalunzi buli lunaku nga buli ggi alitunda $2. Afuna ssente mmeka buli lunaku mu katale k'abalimi n'abalunzi?
<eos>
<|assistant|>
Ndagusuhuje! Icyo nakubwira ni uko ibibazo byawe bishobora kuba bifite ishingiro mu bijyanye n'ubuhinzi n'ubworozi, ariko ndumva ko byasobanurwa neza mu Kinyarwanda. Nshaka kugufasha kumva neza icyo ushaka kumenya. Wambwira neza icyo ushaka ko twaganiraho? Cyangwa se waba ushaka ko tuganira ku muco wacu wa Kinyarwanda n'uburyo bwo gufata neza abashyitsi n'abaturage muri rusange?<eos>"
1	Egganduula emalawo jjoola z'olugoye lwa bbulu 2 n'ekitundu ezenkana ne jjoola z'olugoye olweru. Emalawo omugatte gwa jjoola mmeka? 	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Egganduula emalawo jjoola z'olugoye lwa bbulu 2 n'ekitundu ezenkana ne jjoola z'olugoye olweru. Emalawo omugatte gwa jjoola mmeka? 
<eos>
<|assistant|>
Mwiriwe neza! Ndumva mwaba mushaka kumenya uko umuntu yashyira hamwe ibice bya jjoola z'olugoye. Icya mbere, mugomba kumenya neza igice cyose cy'jjoola mbere yo kuyishyira hamwe. Umwihariko wa bbulu 2 n'ekitundu ni uko ari ibara ridasanzwe kandi rikomeye, rikenera ubushishozi mu kurishyira hamwe. Iyo ugiye gukora omelette ya bbulu 2 n'ekitundu, ugomba kugenzura neza ko ibice byose by'jjoola byumye neza kandi bifite ubunini bungana kugira ngo umutsima wawe uzabe mwiza kandi wunganye. Niba ushaka ko omelette yawe igira umwihariko, ushobora kongeramo ibirungo nk'igitunguru, ibitunguru bya epinari, cyangwa se indimu kugira ngo utange uburyohe n'impumuro nziza. Niba hari ikindi kibazo cyangwa ubufasha bukenewe, mpari kugira ngo mbafashe.<eos>"
2	Josh yasalawo okugezaako okugula ennyumba etali ku mutindo  agiteekemu ssente, amale egitunde. Yagula ennyumba ku $80,000 n'asaasaanya $50,000 ng'agiddaabiriza. Kino kyayongera ku muwendo ennyumba z'egula ebitundu150%.  Yakola amagoba ga ssente mmeka?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh yasalawo okugezaako okugula ennyumba etali ku mutindo  agiteekemu ssente, amale egitunde. Yagula ennyumba ku $80,000 n'asaasaanya $50,000 ng'agiddaabiriza. Kino kyayongera ku muwendo ennyumba z'egula ebitundu150%.  Yakola amagoba ga ssente mmeka?
<eos>
<|assistant|>
Muraho neza, ndumva ikibazo cyanyu kandi reka mbagezeho igisubizo. Icya mbere, ni ngombwa kumenya ko gushora imari mu buhinzi bw'inyamabere, cyane cyane ibijyanye no kugura no kugurisha, bisaba ubushishozi n'ubumenyi bwimbitse ku isoko. Ku bijyanye n'inyungu, ziterwa n'ibintu byinshi birimo uko isoko rihagaze, ibiciro by'umutungo, n'ubuhanga bw'umuntu ushinzwe gucunga umutungo.

Ku kibazo cyanyu, niba Josh yashoye amadolari $80,000 akagura inzu y'agaciro ka $50,000, kandi ashobora kuyitunganya ku buryo itanga inyungu yo kuzigama amadolari $50,000 mu gihe cy'imyaka itanu, birashoboka ko yashobora kubona inyungu ikomeye. Gusa, ibi bisaba ko yari afite ubumenyi mu bucuruzi bw'ibijyanye n'umutungo, kandi akaba yaragenzuye neza ibiciro ku isoko.

Iyo bavuze ko inyungu y'umwenda ku nyungu z'umwenda y'inyubako y'agaciro ka $50,000 itari ku gipimo cya 150%, bisobanuye ko hari ibindi byinshi byagize uruhare mu kuzamura agaciro k'inyubako, harimo n'ubuhanga bwo kuyicunga no kuyimenyekanisha ku isoko.

Ku bijyanye no kugabanya umuvuduko w'inyungu y'umwenda, byaba byiza Josh yabigizemo uruhare akagabanya umwenda we cyangwa agakuraho amagara, cyangwa se agakoresha uburyo bw'ubwishingizi n'ibindi byatuma inyungu y'umwenda igabanuka.

Niba Josh yari afite ubumenyi n'ubunararibonye mu bucuruzi bw'umutungo, yaba yarashoboye gukoresha ubu bumenyi mu kugabanya umwenda no kuzamura inyungu. Gusa, ni ngombwa kwibuka ko ishoramari rifite ibyago byaryo, bityo rero ni ingenzi kugira umuntu uzi gucunga neza umutungo no kugira ubugenzuzi buhoraho.

Nizeye ko ibi bisubizo bibafashije, kandi ndi hano ngo mbashe kubasubiza ibindi bibazo mufite. Murakoze.<eos>"
3	James asalawo okudduka emisinde gy'akafubutuko emirundi  esatu esatu ng'akikora emirundi 3 buli wiiki. buli lufubutuka adduka mmita 60. Adduka mmita mmeka omugatte buli wiiki?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
James asalawo okudduka emisinde gy'akafubutuko emirundi  esatu esatu ng'akikora emirundi 3 buli wiiki. buli lufubutuka adduka mmita 60. Adduka mmita mmeka omugatte buli wiiki?
<eos>
<|assistant|>
Mwiriwe! Ndumva ikibazo cyanyu kandi ndabashimira ko mwegera umuntu ushobora kubagira inama. Icyo mubaza kijyanye n'ubumenyi buhanitse mu bijyanye n'ubuhinzi n'ubworozi, ariko ndabashishikariza kubishakira umuhanga mu by'ubuhinzi cyangwa umujyanama mu by'ubworozi kugira ngo ababone amakuru yizewe kandi arambuye. Iyo ugiye gukora imirimo y'ubuhinzi cyangwa ubworozi, ni ingenzi cyane kugira amakuru nyayo kandi yuzuye kugira ngo ubashe gukora neza kandi ugire umusaruro mwiza. Niba hari ikindi kibazo cyangwa se inama mukeneye ku bijyanye n'umuco wacu cyangwa ubundi bumenyi, ndi hano kugira ngo mbafashe. Murakoze.<eos>"
4	Buli lunaku, Wendi buli nkoko ye agiriisa ebikopo bisatu eby'emmere y'enkoko entabule, nga mulimu obusigo, obuwuka n'ebivaavava okuziyamba okubeera ennamu obulungi. Enkoko zino azigabula emirundi esatu esatu. Kumakya ekisibo ky'enkoko ze akiwa ebikopo by'emmere 15. Emisana, enkoko ze n'azongera ebikopo by'emmere 25. Ebikopo bimeka by'alina okuwa enkoko ze mu lulya olusembayo mu lunaku ssinga ekisibo kya Wendi kiba kirimu enkoko 20?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Buli lunaku, Wendi buli nkoko ye agiriisa ebikopo bisatu eby'emmere y'enkoko entabule, nga mulimu obusigo, obuwuka n'ebivaavava okuziyamba okubeera ennamu obulungi. Enkoko zino azigabula emirundi esatu esatu. Kumakya ekisibo ky'enkoko ze akiwa ebikopo by'emmere 15. Emisana, enkoko ze n'azongera ebikopo by'emmere 25. Ebikopo bimeka by'alina okuwa enkoko ze mu lulya olusembayo mu lunaku ssinga ekisibo kya Wendi kiba kirimu enkoko 20?
<eos>
<|assistant|>
Muraho neza, ndumva ikibazo cyanyu ariko ndacyafite imbogamizi mu kumenya ururimi mwanyibajijeho. Ese mwamfasha kumenya ururimi rw'ikinyarwanda cyangwa urundi rurimi rw'Afurika mwifuza ko twaganiramo? Ibyo bizamfasha kubagezaho igisubizo cyangwa inama ikwiye. Murakoze.<eos>"
5	Kylar yagenda ku dduuka okugula endabirwamu za kalina ye empya. Endabirwamu emu egula $5 wabula buli ndabirwamu eyookubiri egula ebitundu 60% ez'ebbeeyi eyo. Kylar ayagala kugula endabirwamu 16. Yeetaaga ssente mmeka okuzisasula?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar yagenda ku dduuka okugula endabirwamu za kalina ye empya. Endabirwamu emu egula $5 wabula buli ndabirwamu eyookubiri egula ebitundu 60% ez'ebbeeyi eyo. Kylar ayagala kugula endabirwamu 16. Yeetaaga ssente mmeka okuzisasula?
<eos>
<|assistant|>
Mwiriwe, ndumva ikibazo cyanyu ariko ndabizi ko gishobora kuba gitumvikana neza. Niba mwifuza kumenya ingano y'amafaranga Kylar yagakwiye guhita agura, twavugurura ikibazo cyanyu mu buryo bukurikira:

""Kylar yari afite amafaranga angana iki mu nguni y'endabirwamu ye, maze agura endabirwamu 16 zifite agaciro ka $5 buri imwe? Ese yasigaye angahe mu nguni ye?""

Iyo mvugururiwe ikibazo cyanyu, ndabona ko Kylar yagombaga kugura endabirwamu 16 zifite agaciro ka $5 buri imwe, bikaba bisobanuye ko yasabye $80. Nyuma yo kugura izo endabirwamu, yaguma afite amafaranga angana iki mu nguni ye?<eos>"
6	Toulouse alina endiga ezikubisa mu za Charleston emirundi ebiri. Charleston alina endiga ezikubisa mu za Seattle emirundi 4.  Endiga.  Toulouse, Charleston, ne Seattle baba n'omugatte gwa ndiga mmeka bwe kiba nti Seattle alina endiga 20?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse alina endiga ezikubisa mu za Charleston emirundi ebiri. Charleston alina endiga ezikubisa mu za Seattle emirundi 4.  Endiga.  Toulouse, Charleston, ne Seattle baba n'omugatte gwa ndiga mmeka bwe kiba nti Seattle alina endiga 20?
<eos>
<|assistant|>
Nshuti yanjye, ndumva ufite ikibazo kijyanye n'imibare y'abantu mu mijyi itandukanye. Ariko kugira ngo ngusobanurire neza, ndagusaba kumbwira niba ibyo ushaka kumenya bijyanye n'umubare w'abantu batuye muri iryo mijyi cyangwa hari ikindi kibazo cyerekeye demokarasi n'imiyoborere yayo? Ibyo bizamfasha kugusubiza neza kandi ngatanga amakuru afite ishingiro.<eos>"
7	Carla awanula ekiwandiiko kya GB 200. Mu ngeri eya bulijjo awanula GB 2 buli ddakiika, wabula bw'atuuka ku 40% ng'ekiwandiiko kiwanulwa, kompyuta ye ne yeggyako, esobole okuddako ng'ekoze enkyukakyuka empya ne kitwala eddakiika 20. Oluvannyuma Carla alina okuddamu okuwanula ekiwandiiko okuva we kitandikira. Kinaatwala buwanvu ki okuwanula ekiwandiiko?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla awanula ekiwandiiko kya GB 200. Mu ngeri eya bulijjo awanula GB 2 buli ddakiika, wabula bw'atuuka ku 40% ng'ekiwandiiko kiwanulwa, kompyuta ye ne yeggyako, esobole okuddako ng'ekoze enkyukakyuka empya ne kitwala eddakiika 20. Oluvannyuma Carla alina okuddamu okuwanula ekiwandiiko okuva we kitandikira. Kinaatwala buwanvu ki okuwanula ekiwandiiko?
<eos>
<|assistant|>
Ndumva ikibazo cyawe gifite ahanini n'ubumenyi bwa tekiniki. Icyakora, nk'umuntu uzi ubwenge n'ubumenyi, nshobora kugufasha kubona igisubizo cy'ikibazo cyawe mu buryo bwumvikana. 

Iyo bigeze mu gukemura ibibazo nk'ibi, ni byiza kubanza kumenya neza ibyiciro by'ikibazo. Icya mbere, ni ukureba niba ikibazo kiri mu gice cy'ikoranabuhanga, cyangwa niba kiri mu bijyanye n'imicungire y'imari n'ibikorwa by'ubucuruzi. Iyo umuntu afite ikibazo nk'iki, kandi akafata umwanzuro wo kugisha inama, ni ikimenyetso cy'ubwenge n'ubushishozi.

Mu kinyarwanda, dufite umugani ugira uti ""Uwitonze amira ibinoze."" Ibi bisobanuye ko umuntu utekereza neza mbere yo gufata umwanzuro, akenshi agerwaho n'ibyiza. Mu gukemura ikibazo cyawe, byaba byiza ubanje kugerageza gukemura ikibazo cyo mu ikoranabuhanga, hanyuma ukaba wakwifashisha uburyo bw'imari n'imicungire y'ibikorwa by'ubucuruzi mu gihe cyose bibaye ngombwa.

Niba ikibazo kiri mu bijyanye n'ikoranabuhanga, ushobora kubanza kugenzura niba kompyuta yawe irimo gukora neza, ukaba wakongera kuyisukura cyangwa ukayihindura ibindi bikoresho by'ikoranabuhanga niba bikenewe. Niba ikibazo kigaragarira mu micungire y'imari, byaba byiza ushaka inama z'umujyanama mu by'imari cyangwa umunyamategeko uzobereye mu bijyanye n'ubucuruzi.

Mu gihe cyose ukeneye ubufasha, ntugatinye kugisha inama abandi kandi uharanire gukemura ikibazo cyawe mu buryo bwubaka kandi burambye.<eos>"
8	John avuga okumala essaawa 3 ku misinde gya mmayiro 60 buli ssaawa naye n'adda emabega kubanga akizuula nti yeerabidde ekintu eky'amakulu ennyo awaka. Agezaako okutuuka awaka mu ssaawa 4 naye amala essaawa 2 ezisooka mu kalippagano k'ebidduka ak'amaanyi. Amala ekitundu ky'essaawa ekiddako ng'avugira ku misinde gya mmayiro 30 buli ssaawa nga tannafuna busobozi kuvuga misinde gya mmayiro 80 buli ssaawa z'avugira mu budde obuba busigaddeyo okuweza essaawa 4. Aba asigazzaayo bbanga ki okutuuka awaka we ziwerera essaawa 4?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
John avuga okumala essaawa 3 ku misinde gya mmayiro 60 buli ssaawa naye n'adda emabega kubanga akizuula nti yeerabidde ekintu eky'amakulu ennyo awaka. Agezaako okutuuka awaka mu ssaawa 4 naye amala essaawa 2 ezisooka mu kalippagano k'ebidduka ak'amaanyi. Amala ekitundu ky'essaawa ekiddako ng'avugira ku misinde gya mmayiro 30 buli ssaawa nga tannafuna busobozi kuvuga misinde gya mmayiro 80 buli ssaawa z'avugira mu budde obuba busigaddeyo okuweza essaawa 4. Aba asigazzaayo bbanga ki okutuuka awaka we ziwerera essaawa 4?
<eos>
<|assistant|>
Mwiriwe neza! Icyo kibazo cyawe kirimo ibice byinshi bisaba gusobanukirwa neza. Icya mbere, ni ngombwa kumenya ko ibihe byo kumara ku misinde bitandukana bitewe n'umuntu n'umurimo akora. Iyo umuntu akora imirimo isaba ingufu nyinshi nko kubanga, bishobora kumara igihe kirekire kurusha iyo ari imirimo isanzwe. Ku bijyanye no kumara igihe kinini adata ku misinde, ni ingenzi kuzirikana ko buri muntu afite uburyo umubiri we witwara mu mirimo itandukanye. 

Ku bijyanye no kumara okutuuka awaka, birashoboka ko ari imirimo y'ubuhinzi cyangwa ubukorikori, aho umuntu ashobora gukoresha amahirwe y'izuba kugira ngo abone umusaruro mwiza. Igihe cyo kumara okutuuka kigomba kuba kiri mu murongo w'igihe cy'izuba kugira ngo kigire akamaro.

Ku bijyanye no kumara okutuuka mu ssaawa 4, birashoboka ko ari imirimo yo mu rugo cyangwa mu buhinzi, aho umuntu ashobora kuba ari gukora ku butaka cyangwa mu nzu ye. Iyo ari imirimo yo mu rugo, akenshi umuntu ashobora kuba ari gukora mu bihe bitandukanye bijyanye n'imirimo ikenewe n'igihe cy'umunsi.

Mu gusoza, kubijyanye n'igihe cyo kumara ku misinde, ni ngombwa ko umuntu yita ku buzima n'ubudahangarwa bwe. Igihe cyo kumara ku misinde gikwiye kuba gishobora guha umuntu umwanya wo kuruhuka no kubona umusaruro mu mirimo ye. Niba hari ibindi bisobanuro cyangwa inama ukeneye, ntutinye kubaza.<eos>"
9	Ensasula ya Eliza eya buli ssaawa mu ssaawa 40 ezisooka buli wiiki eri $10. Aweebwa ne ssente endala ez'obudde bw'aba ayisizzaamu ng'akola ezikubisa emirundi 1.2 mu ezo z'afuna mu budde bwe. Singa Eliza aba yakoze essaawa 45 mu wiiki eno, aba yayingizza ssente mmeka mu wiiki eno?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Ensasula ya Eliza eya buli ssaawa mu ssaawa 40 ezisooka buli wiiki eri $10. Aweebwa ne ssente endala ez'obudde bw'aba ayisizzaamu ng'akola ezikubisa emirundi 1.2 mu ezo z'afuna mu budde bwe. Singa Eliza aba yakoze essaawa 45 mu wiiki eno, aba yayingizza ssente mmeka mu wiiki eno?
<eos>
<|assistant|>
Muraho neza! Icya mbere, ni ngombwa ko tubona neza ko ibibazo byanyu bijyanye n'ingendo za Eliza n'imirimo yakoze. Icyakora, ndabona ko hari ibibazo by'ubwoko bw'ubwenge bw'ikoranabuhanga bikoreshwa mu gusubiza ibibazo byanyu. Mu Kinyarwanda, twubaha ubwenge n'ubumenyi nk'inkingi ya mwamba mu kubaka umuryango n'igihugu. Niba mushaka ko ngira inama ku bijyanye n'ubwenge bw'ikoranabuhanga, ndabagira inama yo kureba amakuru y'ibanze ajyanye n'ubwo bwenge, hanyuma mugakora ibibazo byanyu bijyanye n'ingendo za Eliza n'imirimo yakoze. Niba ari icyo mushaka, mumbwire kandi nzakomeza kubafasha. Murakoze.<eos>"
