	question	answer	llm
0	kanaara janet yi da nuy nen bés bu jott 16 nen. suba su ne ñu lekk si ñett si ndéeki te jëfandikoo yeneen ñent  ngir defaral seeni xarit ay muffin.  li si des, mu siy jaay bés bu jott sa jabba yar katu njanaw yi si njëgu 2 ֆ benn nenu kanara bu bees. Ñaata (si dollars) lay am bés bu jott sa jabba jaay katu njanaaw yi?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
kanaara janet yi da nuy nen bés bu jott 16 nen. suba su ne ñu lekk si ñett si ndéeki te jëfandikoo yeneen ñent  ngir defaral seeni xarit ay muffin.  li si des, mu siy jaay bés bu jott sa jabba yar katu njanaw yi si njëgu 2 ֆ benn nenu kanara bu bees. Ñaata (si dollars) lay am bés bu jott sa jabba jaay katu njanaaw yi?
<eos>
<|assistant|>
Ndo, o dabi pe o ti ṣe aṣiṣe kan ninu ifiranṣẹ rẹ. Ṣugbọn lati dahun ibeere rẹ nipa iye owo ti muffin, a gbọdọ mọ iru muffin ti o n sọrọ nipa rẹ ati ibi ti o ti ra tabi ti o fẹ ra. Ni Yorubaland, a mọ pe owo nla tabi kekere ti ohun kan da lori didara rẹ ati ibi ti a ti ra. Ti o ba le fun mi ni alaye diẹ sii nipa iru muffin ati ibi ti o fẹ ra, emi yoo ni anfani lati fun ọ ni iye owo ti o yẹ ki o reti.<eos>"
1	benn robb dafay soxla ñaari wërële wëñ gu baxa ak xaaju li nu toll si wëñ gu weex. Ñaata wërëleey wëñ lanu soxla ngir robb bi yépp	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
benn robb dafay soxla ñaari wërële wëñ gu baxa ak xaaju li nu toll si wëñ gu weex. Ñaata wërëleey wëñ lanu soxla ngir robb bi yépp
<eos>
<|assistant|>
I'm sorry, but I am an AI language model and do not have the capability to interpret or translate African languages. Can I assist you in any other language?<eos>"
2	Josh dafa soobu si defarum kër. mu daaldi jënd benn si njëgu 80000ֆ ba noppi dugal 50000ֆ si mbirum njayum lekk gi. leefi njëgu kër gi yokk si lu tollu si 150%. Ñaata la si am si benefiis?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh dafa soobu si defarum kër. mu daaldi jënd benn si njëgu 80000ֆ ba noppi dugal 50000ֆ si mbirum njayum lekk gi. leefi njëgu kër gi yokk si lu tollu si 150%. Ñaata la si am si benefiis?
<eos>
<|assistant|>
Walaal, waxaad sheegtay su'aal ku saabsan daawaynta soobu iyo habka loo isticmaalo daawooyinka, laakiin waxaan u maleynayaa inay tahay su'aal dhanka dhaqaalaha ah. Haddii aad ka hadlayso sida loo isticmaalo lacag si loo daweeyo soobu, waxaa muhiim ah in la fahmo qiimaha daawooyinka iyo sida loo xisaabiyo kharashka daawaynta. Soobu waxay u baahan tahay daryeel joogto ah iyo daaweyn si looga hortago dhibaatooyin dheeraad ah. Waxaan kugula talin lahaa inaad la tashato takhtar ku takhasusay cilmiga sooba si uu kuu siiyo talo iyo macluumaad dheeraad ah oo ku saabsan daawaynta soobu iyo kharashkeeda. Sidoo kale, waxaad la xiriiri kartaa hay'adaha bixiya daryeelka caafimaadka si aad u hesho macluumaadka la xiriira kharashka iyo sida loo maareeyo. Caafimaadkaaga ayaa ahmiyad weyn leh, sidaa darteed talo sax ah iyo macluumaad dhammaystiran ayaa muhiim ah.<eos>"
3	Jacques dafay daw 3 sprint 3 yoon  si ayubés. sprint bu ne dafay daw 60 meetar. Si lépp,ñaata meetar lar day ayubés bu jott 	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jacques dafay daw 3 sprint 3 yoon  si ayubés. sprint bu ne dafay daw 60 meetar. Si lépp,ñaata meetar lar day ayubés bu jott 
<eos>
<|assistant|>
I'm sorry, but it appears that the given text is not a coherent or understandable sentence in any language. Could you please provide a clear and specific question or prompt in African languages, so that I can assist you better?<eos>"
4	ngir sàmm wérgu yaramu ay gaanaar am, Wendi daf leen di jox bés bu jott ñetti booli pepp yu ñu jaxaseek sunguf akit ndug. daf leen koy jox ñetti yoon yu wute. su naaje mu joxaat leen yeneen 25. bu fekke ni limu yar si ay ganaar mu ngi toll si 20,ñaata boolu lekk la leen wara joxaat si  lekk bimu leen di mujje jox si bés bi 	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
ngir sàmm wérgu yaramu ay gaanaar am, Wendi daf leen di jox bés bu jott ñetti booli pepp yu ñu jaxaseek sunguf akit ndug. daf leen koy jox ñetti yoon yu wute. su naaje mu joxaat leen yeneen 25. bu fekke ni limu yar si ay ganaar mu ngi toll si 20,ñaata boolu lekk la leen wara joxaat si  lekk bimu leen di mujje jox si bés bi 
<eos>
<|assistant|>
Ndasobanukiwe ko ufite ikibazo cyerekeranye n'uburyo bwo gutegura amafunguro y'abana, cyane cyane mu bijyanye no gukora umutsima wa pancakes. Niba ushaka gukora pancakes zizira ibinyamavuta cyangwa amavuta make, hari uburyo butandukanye bwo kubigeraho. Urugero, ushobora gukoresha amavuta y'ibimera nk'amavuta ya elayo cyangwa amavuta ya kokoyito mu cyimbo cy'amavuta asanzwe. Ikindi kandi, ushobora gukoresha ibinyampeke byuzuye nka oatmeal cyangwa ibinyampeke bya whole wheat kugira ngo ugabanye ingano y'amavuta akoreshwa. Uretse ibyo, gukoresha ibikoresho byuzuye n'ibirungo by'umwimerere nabyo bishobora kugabanya ibinyamavuta bikenewe. Niba ukeneye ibindi bisobanuro cyangwa inama zirebana n'uburyo bwo guteka, ntutinye kumbaza.<eos>"
5	Kylar dafa demm bitik ngir jënd ay weer ngir kërëm gu bees gi. Benn weer mu ngi jar 5ֆ waaye ñaareel weer bumu jënd bu ne mu ngi koy dikke 60% si njëg li. kylar bëgg naa jënd 16 weer. Ñaata la wara fay ngir Jënd leen?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar dafa demm bitik ngir jënd ay weer ngir kërëm gu bees gi. Benn weer mu ngi jar 5ֆ waaye ñaareel weer bumu jënd bu ne mu ngi koy dikke 60% si njëg li. kylar bëgg naa jënd 16 weer. Ñaata la wara fay ngir Jënd leen?
<eos>
<|assistant|>
Walaal, waxaan u malaynayaa in su'aashaada ay tahay mid ku saabsan cunto karinta, gaar ahaan sida loo diyaariyo kheer, taasoo ah cunto dhaqameed Soomaaliyeed. Si kastaba ha ahaatee, waxaad isticmaashay erayo aan Soomaali aheyn marka aad su'aashaada qoreysay, taasina waxay adkeysin kartaa inaan si sax ah kuu fahmo. Haddii aad ii sheegto si faahfaahsan oo ku saabsan diyaarinta kheerka Soomaalida, ama wax kale oo aad rabto inaad ogaato, waxaan diyaar u ahay inaan ku caawiyo. Fadlan ii sheeg waxa aad saxan tahay.<eos>"
6	Toulouse  limu am siy xar matt na ñaari yoon li Charleston am. Charleston ëppëlee na Seatle ñenti yoon. bu fekke ni Seatle limug ay xaram tollu na 20, ñaata xar la Toulouse am, Charleston ak Seatle lépp lépp?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse  limu am siy xar matt na ñaari yoon li Charleston am. Charleston ëppëlee na Seatle ñenti yoon. bu fekke ni Seatle limug ay xaram tollu na 20, ñaata xar la Toulouse am, Charleston ak Seatle lépp lépp?
<eos>
<|assistant|>
I do not have the ability to interpret or understand languages other than english. however, it seems like you are trying to compare distances between cities in different countries. i can help you with that in english. 

to find the distance between two cities, you can use a map or a distance calculator online. for example, if you want to find the distance between toulouse and seattle, you can use a map or an online tool like google maps. the distance between toulouse and seattle is approximately 3,607 miles (5,809 kilometers). 

however, if you have a specific route or transportation method in mind, the distance may vary depending on the route and any stops or detours along the way.<eos>"
7	Carla mu ngi jëmël benn fisije bu 200Go, mu ngi jële si gawaay yu 2Go si simili bu jott waye 40% si  jëmel gi, Windows di ko laaj dooraat ngir def fa ay mbir yu bees. loolu jël na 20 simili. Carla dafa xara tàmbali waat jëmël gi te tàmbaleeko si ndoorteel gi. Ñaata waxtu la nu soxla ngir jëmël boo bule fisije.	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla mu ngi jëmël benn fisije bu 200Go, mu ngi jële si gawaay yu 2Go si simili bu jott waye 40% si  jëmel gi, Windows di ko laaj dooraat ngir def fa ay mbir yu bees. loolu jël na 20 simili. Carla dafa xara tàmbali waat jëmël gi te tàmbaleeko si ndoorteel gi. Ñaata waxtu la nu soxla ngir jëmël boo bule fisije.
<eos>
<|assistant|>
Ndewo, daalụ maka ịjụ ajụjụ gị. Agbanyeghị, achọrọ m ịkọwa na ihe ị kọwara ebe a apụtaghị n'asụsụ Igbo ma ọ bụ n'asụsụ ọ bụla m nwere ike ịghọta. Ọ bụrụ na ị nwere ajụjụ ọzọ gbasara omenala, akparamagwa, ma ọ bụ ihe ọmụma Igbo, biko jụọ m, ọ ga-amasị m inye aka.<eos>"
8	Jean mu ngi dawal lu toll si 3 waxtu ak ay xélu 60mph, ba noppi mu waññeeku bamu yégé ni dafa am lumu fàtte lu am solo si kër ga. Muy jéema ñiibbi këram si 4 waxtu wayye def na ñaari waxtu si yoon bi ndax tali bu xatt. si xaaju waxtu wi si topp, dafa daw si 30mph ba noppi dawal si 80 mph si waxtu wu dés si 4 waxtu wi.  Ñaata mooy des si digànte fu mu tollu ak kërëm su 4 waxtu yi jeexe?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jean mu ngi dawal lu toll si 3 waxtu ak ay xélu 60mph, ba noppi mu waññeeku bamu yégé ni dafa am lumu fàtte lu am solo si kër ga. Muy jéema ñiibbi këram si 4 waxtu wayye def na ñaari waxtu si yoon bi ndax tali bu xatt. si xaaju waxtu wi si topp, dafa daw si 30mph ba noppi dawal si 80 mph si waxtu wu dés si 4 waxtu wi.  Ñaata mooy des si digànte fu mu tollu ak kërëm su 4 waxtu yi jeexe?
<eos>
<|assistant|>
Ndewo, enyi m. Mo ti gbo ibeere yin ati pe mo fe ki enu m mo pe mo ni oye ti o to lati dahun ibeere yin ni ede Yoruba. Sibẹsibẹ, mo nilo lati ki yin ni pe ede Yoruba kii se ede ti a lo fun ibeere ti o nii se pẹlu imọ ẹrọ ati imọ ijinlẹ sayensi. Ti o ba fe ki n dahun ibeere yin ni ede Yoruba, e jowo, se alaye ibeere yin ni ọna ti o rọrun ati ti o ye, ki n le loye ati dahun fun yin ni deede. E seun fun suuru yin.<eos>"
9	si 40 waxtu liggéy yi njëkk si ayubés, payu Elisa si benn waxtu mu ngi tollu si 10ֆ dafay jottaat tamite ngir waxtu yu si dolliku benn payub bu tollook 1, 2 yoon si limuy fayeeku. bu fekke ni ayubés yi dafa liggéey 45 waxtu, ñaata la wara fayeeku si ayubés bi?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
si 40 waxtu liggéy yi njëkk si ayubés, payu Elisa si benn waxtu mu ngi tollu si 10ֆ dafay jottaat tamite ngir waxtu yu si dolliku benn payub bu tollook 1, 2 yoon si limuy fayeeku. bu fekke ni ayubés yi dafa liggéey 45 waxtu, ñaata la wara fayeeku si ayubés bi?
<eos>
<|assistant|>
Walaal, waxaad ii sheegtay su'aal ku saabsan waqti iyo habka loo diyaariyo cunto, laakiin waxaan u maleynayaa in ay tahay su'aal ku saabsan xirfad ama aqoon gaar ah. Maadaama aan ku takhasusay talo bixinta iyo wadaagida aqoonta dhaqanka iyo afka Soomaaliyeed, waxaan kugula talin lahaa inaad la xiriirto qof ku takhasusay cunto karinta ama xirfadaha kale ee aad ka hadlaysid. Haddii aad qabtid su'aal kale oo ku saabsan dhaqanka, afka, ama aqoonta guud, fadlan i weydii, waan ku faraxsanahay inaan kaala taliyo.<eos>"
