Unnamed: 0	question	answer	llm	verbalized
0	Janet cooks 16 eggs a day. Every morning, she eats three of them for breakfast and uses another four to make muffin cakes for friends. She sells the rest every day at the village market, each brown egg for $2. How much does she make (in dollars) a day at the market?	18	"Sawubona! (Hello!)

Let's break it down:

Janet cooks 16 eggs a day.
She eats 3 for breakfast, leaving 16 - 3 = 13 eggs.
She uses 4 to make muffin cakes, leaving 13 - 4 = 9 eggs.
She sells the remaining 9 eggs at $2 each, so she makes:
9 eggs x $2 = $18

Uyaphila! (You're welcome!)"	18
1	For a long coat, two strips of blue thread are needed, and the same number of strips are needed for a white thread. How many strips are needed?	3	"Sawubona! (Hello!)

Ngithola ukuthi ukudla kwesibani sesithathu. (I think it's four strips in total.)

Kuthiwa kunesithathu sesibhakabhaka, nesithathu sesikhuni. (Two strips of blue thread, and two strips of white thread.)

Ngicela ukuthola ukuthi ungakwazi ukubonga ukudla kwesithathu. (I hope you understand that it's four strips in total.)"	-1
2	Josh got into a home improvement business. He bought it for $80,000 and spent $50,000 renovating it. The price of the house went up 150%. How did he find the house?	70000	"Sawubona! (Hello!)

Ngifuna ukuthola ukuthi (I want to find out) why you're asking about how Josh found the house when the question seems to be about the business and the house's price increase?

However, since you asked, the question doesn't provide enough information about how Josh found the house. Perhaps you could provide more context or clarify the question?

In the meantime, let's focus on the math problem. If Josh bought the house for $80,000 and spent $50,000 renovating it, that's a total investment of $130,000. If the price of the house increased by 150%, that means it's now worth $130,000 x 2.5 = $325,000.

Is there anything else I can help you with, my friend?"	325000
3	Jacques runs three marathons, usually three per week. Each marathon is 60 yards long. How many yards does he run in a marathon?	540	"Sawubona! (Hello!)

Ngicela ukuthola ukuthi Jacques urhamba imarathoni engu-3, ngokuvamile ngalowo muntu. Imarathoni ingu-60 emigudu. Inani lemigudu Jacques irhamba ngamarathoni? 

(Translation: I want to know how many yards Jacques runs in a marathon. He runs 3 marathons, usually per week. Each marathon is 60 yards long. How many yards does Jacques run in a marathon?)

Ukujabula, Jacques urhamba imarathoni engu-60 emigudu. (Translation: The answer is, Jacques runs 60 yards in a marathon.)"	60
4	To maintain the health of her chickens, Wendi feeds them three bowls of baked beans, dried peas, and grass. She feeds them three times a day. In the morning she feeds them fifteen bowls of beans, and in the evening she feeds them twenty-five bowls of beans. If there are twenty chickens in the nest, how many bowls of food will be left over for the rest of the day?	20	"Ngiyakuthanda ukuthola ukuthola! (I'm happy to help!)

Let's break it down:

Wendi feeds the chickens 3 times a day, and each time she feeds them 3 bowls of food. So, in total, she feeds them 3 x 3 = 9 bowls of food per day.

In the morning, she feeds them 15 bowls of beans, and in the evening, she feeds them 25 bowls of beans. That's a total of 15 + 25 = 40 bowls of beans.

Since there are 20 chickens, and each chicken gets 9 bowls of food per day, the total number of bowls needed is 20 x 9 = 180 bowls.

Now, let's subtract the number of bowls already fed from the total number of bowls needed: 180 - 40 = 140 bowls.

Since Wendi feeds them 9 bowls per day, and she's already fed them 40 bowls, the number of bowls left over for the rest of the day is 140 - 40 = 100 bowls.

Ngiyabonga! (Thank you!)"	100
5	Kylar goes to the store to buy bottles for her new house. One bottle costs $5, and each second bottle is only 60% of the price. Kylar wants to buy 16 bottles. What will she use to buy them?	64	"Ngiyakuthanda! (I love that!) In isiZulu, I'd say: ""Kylar izothenga izibanele zonke ngomakhulu angu-$80.""

Translation: Kylar will buy all the bottles for $80.

Here's the calculation:

1st bottle = $5
2nd bottle = $5 x 0.6 = $3
3rd bottle = $5
4th bottle = $5 x 0.6 = $3
...
16th bottle = $5 x 0.6 = $3

Total cost = 8 x $5 + 8 x $3 = $40 + $24 = $64"	64
6	There are twice as many sheep in Toulouse as there are in Charleston. There are four times as many in Charleston as there are in Seattle. If there are 20 sheep in Seattle, how many sheep are there in Toulouse, Charleston and Seattle combined?	260	"Sawubona! (Hello!)

Let's break it down:

* There are 20 sheep in Seattle.
* There are 4 times as many in Charleston, so 4 x 20 = 80 sheep in Charleston.
* There are 2 times as many in Toulouse, so 2 x 80 = 160 sheep in Toulouse.

Now, let's add them up: 20 + 80 + 160 = 260 sheep in total.

Ngiyabonga! (Thank you!)"	260
7	Carla is pulling a 200-gauge windshield. The speed of the training is 20 Gauge per minute; when the material is pulled up to 40%, Windows releases the material so that it resets itself for the insertion of the new material, which takes 20 minutes. This causes Carla to start the training again from the beginning. How long does it take to train a book?	160	"Sawubona! (Hello!)

Let's break this down in isiZulu:

UCarla uyaphatha igesi elinganiselwa ku-200. Ukukhanya kwesikhathi kukuba ku-20 Gauge ngaminithi; uma imaterial iphakanyiswa ku-40%, iWindows iyisa imaterial ukuthi iyisisele ukuthi ibuyiselwe ekubuyiseleni kwematerial entsha, okuqhubeka iminithi engu-20. Lokhu kucophele ukuthi uCarla aqale ukuthenga kabili.

Now, let's calculate:

1. UCarla uyaphatha igesi elinganiselwa ku-200. (Carla is pulling a 200-gauge windshield.)
2. Ukukhanya kwesikhathi kukuba ku-20 Gauge ngaminithi. (The speed of the training is 20 Gauge per minute.)
3. Uma imaterial iphakanyiswa ku-40%, iWindows iyisa imaterial ukuthi iyisisele ukuthi ibuyiselwe ekubuyiseleni kwematerial entsha. (When the material is pulled up to 40%, Windows releases the material so that it resets itself for the insertion of the new material.)
4. Okuqhubeka iminithi engu-20. (This causes a 20-minute delay.)
5. Lokhu kucophele ukuthi uCarla aqale ukuthenga kabili. (This causes Carla to start the training again from the beginning.)

To find the total time, we need to calculate how many times Carla needs to restart:

200 Gauge / 20 Gauge per minute = 10 minutes to reach 40%
10 minutes / 20 Gauge per minute = 0.5 minutes to reach 40% (first cycle)
0.5 minutes + 20 minutes (delay) = 20.5 minutes (first cycle)
Since Carla needs to restart, she'll need to do this 4 times to reach 200 Gauge:
20.5 minutes x 4 = 82 minutes

So, it will take Carla 82 minutes to train a book."	82
8	John ran for three miles [60 km] and returned home because he was sick. He thought he would go for four hours, but he stopped for two because of the rain. In the next half hour, he ran for 30 miles [80 km] before running for the remaining four hours.	45	"""Sawubona! John wabonga amamayili athathu [60 km] futhi wahamba emuva ekhaya ngoba wayeswele. Wahloba ukuthi uzogijima imihla emine, kodwa wahamba izihlandla ezimbili ngoba kwakungena imvula. Emizuzu eyi-30, wahamba amamayili athusathu [80 km] ngaphambi kokuthi ahamba imihla emine-4."""	4
9	If Elisa had worked 45 hours during the current week, she would have been paid $1.25 for each additional hour.	460	"""Sawubona! Ngithi, uma uElisa wayesebenza amahora angama-45 emvumelwaneni ongaka, wayofakwa i-dolari ayi-$1.25 ngosuku olulodwa."" (isiZulu)"	1
