Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.	Ban ƙara masa magana ba.	contradiction	<pad> entailment</s>	entailment
1	Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.	Naji haushi sosai kawai na fara ƙara yi masa magana.	entailment	<pad> entailment</s>	entailment
2	Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.	Mun yi hira mai dadi.	neutral	<pad> neutral</s>	neutral
3	Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.	Ba'a gaya min komai ba akan zan haɗu da kowa ba.	contradiction	<pad> neutral</s>	neutral
4	Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.	An gayan zaa kira min wani mu haɗu. 	entailment	<pad> entailment</s>	entailment
5	Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.	Mutumin ya ɗan zo a makare.	neutral	<pad> neutral</s>	neutral
6	Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.	Ina so na faɗa ma duk abinda na sani akan hakan.	contradiction	<pad> neutral</s>	neutral
7	Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.	Ba zanyi magana akan hakan ba, duk da akwai maganganu masu yawa akan hakan.	entailment	<pad> entailment</s>	entailment
8	Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.	Ba zanyi magana akan tarihi jihar ba, saboda akwai abun faɗa da yawa.	neutral	<pad> entailment</s>	entailment
9	Dan haka ban tabbatar da mene dalili ba.	Na tabbatar da mene dalilin.	contradiction	<pad> neutral</s>	neutral
10	Dan haka ban tabbatar da mene dalili ba.	Ban san dalilin yawan canja makarantun sa ba.	neutral	<pad> entailment</s>	entailment
11	Dan haka ban tabbatar da mene dalili ba.	Ban san meyasa hakan ta faru ba.	entailment	<pad> entailment</s>	entailment
12	Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.	Ba na son na zama ni kaɗai nake jagorancin masu gudanar da gwajin.	neutral	<pad> neutral</s>	neutral
13	Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.	Anyi gwajin a karamin zauren altitude.	entailment	<pad> entailment</s>	entailment
14	Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.	Kaɗan daga cikin mu ne muka jagorancin masu gudanar da gwajin.	contradiction	<pad> entailment</s>	entailment
15	Ni uh, babban jami'i tsoro, mai ritaya kamar yadda Rick ya faɗa. 	Har yanzu a wannan ranar ina aiki.	contradiction	<pad> neutral</s>	neutral
16	Ni uh, babban jami'i tsoro, mai ritaya kamar yadda Rick ya faɗa. 	Na yi ritaya a 2002.	neutral	<pad> neutral</s>	neutral
17	Ni uh, babban jami'i tsoro, mai ritaya kamar yadda Rick ya faɗa. 	Rick ya gaya muku na yi ritaya.	entailment	<pad> entailment</s>	entailment
18	Akwai wasu hasashen shiga da fitar kudi a kan tebur ɗi na kuma, um, uh, kuma na Cutty,  Shine sunan abokin huldar.	Abokin huldar mai suna Cutty yana samun $10000 a wata.	neutral	<pad> neutral</s>	neutral
19	Akwai wasu hasashen shiga da fitar kudi a kan tebur ɗi na kuma, um, uh, kuma na Cutty,  Shine sunan abokin huldar.	Akwai abokin huldar mai suna Cutty.	entailment	<pad> entailment</s>	entailment
20	Akwai wasu hasashen shiga da fitar kudi a kan tebur ɗi na kuma, um, uh, kuma na Cutty,  Shine sunan abokin huldar.	Ba mu da wani abokin hulda mai suna Cutty.	contradiction	<pad> neutral</s>	neutral
21	Yarinyar da zata iya taimaka min tana can tsallake gari.	Yarinyar da nake buƙatar taimakon ta tana zaune a can nesa.	entailment	<pad> entailment</s>	entailment
22	Yarinyar da zata iya taimaka min tana can tsallake gari.	Yarinyar da zata taimake ni tana can tafiyar mil 5.	neutral	<pad> neutral</s>	neutral
23	Yarinyar da zata iya taimaka min tana can tsallake gari.	Babu wani da zai iya taimaka min.	contradiction	<pad> neutral</s>	neutral
24	Amma an rarraba su kamar su waye zasu sa hannu a gonar da kuma su waye yaran gida, Kamar dai haka---	Duka sun yadda akan cewa za su yi aiki a gona.	contradiction	<pad> neutral</s>	neutral
25	Amma an rarraba su kamar su waye zasu sa hannu a gonar da kuma su waye yaran gida, Kamar dai haka---	Sun kasa samun matsaya akan wa zai sa hannu a gona kuma wa ya dace ya zauna a gida.	entailment	<pad> entailment</s>	entailment
26	Amma an rarraba su kamar su waye zasu sa hannu a gonar da kuma su waye yaran gida, Kamar dai haka---	Sun kasa samun matsaya akan waye zai aiki a gonar auduga da kuma waye zai goge ƙasan .	neutral	<pad> entailment</s>	entailment
27	Ina nufin, suna da kamar yara biyar, ɗaya daga cikin su ya rasu.	Duka yaransu sun rayu.	contradiction	<pad> neutral</s>	neutral
28	Ina nufin, suna da kamar yara biyar, ɗaya daga cikin su ya rasu.	Ɗaya daga cikin yara biyar din ya rasu.	entailment	<pad> entailment</s>	entailment
29	Ina nufin, suna da kamar yara biyar, ɗaya daga cikin su ya rasu.	Yaran da ya rasu an haife shi da rashin alfiya.	neutral	<pad> neutral</s>	neutral
30	Tace a yayin da hawaye ne kawai ke zuba daga idon ta kuma tace, sannan tace Joe hayo kan barandar.	Da tana faɗa masa ya hayo kan barandar idanun ta da hawaye.	entailment	<pad> entailment</s>	entailment
31	Tace a yayin da hawaye ne kawai ke zuba daga idon ta kuma tace, sannan tace Joe hayo kan barandar.	Tayi saurin goge hawayen bayan ta tunkuɗo da Joe daga baranda.	contradiction	<pad> entailment</s>	entailment
32	Tace a yayin da hawaye ne kawai ke zuba daga idon ta kuma tace, sannan tace Joe hayo kan barandar.	Ta fara kuka saboda murnar ganin Joe.	neutral	<pad> entailment</s>	entailment
