Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. 	Khange ndithethe naye. 	contradiction	<pad> neutral</s>	neutral
1	Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. 	Ndandinomsindi kakhulu ngokuba nje ndaye ndaqala ukuthetha naye. 	entailment	<pad> neutral</s>	neutral
2	Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. 	Saye sathetha kakuhle kakhulu. 	neutral	<pad> neutral</s>	neutral
3	Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. 	Andizange ndixelelwe nto ngokudibana nomntu. 	contradiction	<pad> entailment</s>	entailment
4	Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. 	Ndaye ndaxelelwa ukuba kuzakubizwa umfana sidibane. 	entailment	<pad> entailment</s>	entailment
5	Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. 	Umfana wafika emva kwexesha.	neutral	<pad> neutral</s>	neutral
6	Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. 	Ndifuna ukuxelela yonke into endiyaziyo ngalo nto. 	contradiction	<pad> neutral</s>	neutral
7	Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. 	Andizukuthetha ngaloo nto, nangona kuninzi ekufuneka kugutyungelwe.	entailment	<pad> entailment</s>	entailment
8	Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. 	Andizukuthetha ngembali yedolophu ngokuba ininzi into yokuthetha. 	neutral	<pad> entailment</s>	entailment
9	Ngoko andiqinisekanga ukuba kutheni.	Ndiqinisekile ngesizathu sokuba kutheni. 	contradiction	<pad> neutral</s>	neutral
10	Ngoko andiqinisekanga ukuba kutheni.	Andiyazi kwakutheni ukuze atshintshe izikolo.	neutral	<pad> entailment</s>	entailment
11	Ngoko andiqinisekanga ukuba kutheni.	Andiyazi ukuba kutheni ukuze yenzeke lo nto.  	entailment	<pad> entailment</s>	entailment
12	Yayindim ndodwa owaye uh , soloko eqhuba abalawuli , uvavanyo kwigumbi le althityhudi encinci. 	Zange ndithande ukuba ibendim ndodwa owaqhuba abalawuli kuvavanyo.	neutral	<pad> entailment</s>	entailment
13	Yayindim ndodwa owaye uh , soloko eqhuba abalawuli , uvavanyo kwigumbi le althityhudi encinci. 	Uvavanyo zazisenziwa kumagumbi amancinci e-althityhudi.	entailment	<pad> entailment</s>	entailment
14	Yayindim ndodwa owaye uh , soloko eqhuba abalawuli , uvavanyo kwigumbi le althityhudi encinci. 	kwakukho abambalwa bethu ababeqhuba abalawuli kuvavanyo.	contradiction	<pad> entailment</s>	entailment
15	Ndingu uh ,mphathi oyintloko wapolisa, othathe umhlala phantsi, ngokutsho kukaRick. 	Ndisasebenza nanamhlanje. 	contradiction	<pad> contradiction</s>	contradiction
16	Ndingu uh ,mphathi oyintloko wapolisa, othathe umhlala phantsi, ngokutsho kukaRick. 	Ndathatha umhlala phantsi  ngonyaka wama2002. 	neutral	<pad> neutral</s>	neutral
17	Ndingu uh ,mphathi oyintloko wapolisa, othathe umhlala phantsi, ngokutsho kukaRick. 	URick wakuxelela ukuba ndithathe umhlala phantsi. 	entailment	<pad> entailment</s>	entailment
18	Kukho uqikelelo lokuhamba kwemali kwidesika yam kwaye, um uh, yenzelwe into enjalo naleyo Cutty. Elo ligama lomxhasi.	Umxhasi obizwa ngokuba nguCutty wenza i10000 yedola ngenyanga. 	neutral	<pad> neutral</s>	neutral
19	Kukho uqikelelo lokuhamba kwemali kwidesika yam kwaye, um uh, yenzelwe into enjalo naleyo Cutty. Elo ligama lomxhasi.	Kukho umxhasi ogama linguCutty.	entailment	<pad> entailment</s>	entailment
20	Kukho uqikelelo lokuhamba kwemali kwidesika yam kwaye, um uh, yenzelwe into enjalo naleyo Cutty. Elo ligama lomxhasi.	Asinaye umxhasi obizwa ngokuba nguCutty. 	contradiction	<pad> neutral</s>	neutral
21	Le ntombazana ezondinceda ihlala ngaphaya kwedolophu.	Le ntombazana endidinga uncedo kuyo ihlala kwindlela kude . 	entailment	<pad> entailment</s>	entailment
