Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.	Sijaongea na yeye tena.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.
HYPOTHESIS: Sijaongea na yeye tena.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
1	Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.	Nilikasirika sana kwamba nikaanza kuzungumza naye tena.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.
HYPOTHESIS: Nilikasirika sana kwamba nikaanza kuzungumza naye tena.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
2	Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.	Tulikuwa na majadiliano mazuri.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.
HYPOTHESIS: Tulikuwa na majadiliano mazuri.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
3	Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.	Sikuambiwa chochote kuhusu kukutana na mtu yeyote.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.
HYPOTHESIS: Sikuambiwa chochote kuhusu kukutana na mtu yeyote.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
4	Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.	Niliambiwa mtu angeitwa aje ili nikutane naye.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.
HYPOTHESIS: Niliambiwa mtu angeitwa aje ili nikutane naye.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
5	Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.	Alikuja akiwa amechelewa.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.
HYPOTHESIS: Alikuja akiwa amechelewa.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
6	Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.	Nataka kukuambia kila kitu ninachokijua kuhusu mambo hayo	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.
HYPOTHESIS: Nataka kukuambia kila kitu ninachokijua kuhusu mambo hayo
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
7	Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.	Sitaongelea mambo hayo, ingawa kuna mengi ya kuficha.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.
HYPOTHESIS: Sitaongelea mambo hayo, ingawa kuna mengi ya kuficha.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
8	Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.	Siwezi ongelea histroria ya mji maana kuna mengi ya kusema.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.
HYPOTHESIS: Siwezi ongelea histroria ya mji maana kuna mengi ya kusema.
Is it  entailment, contradiction, or neutral? neutral"	neutral
9	Hivyo, sijui kwa kweli nu kwa nini.	Nina uhakika wa sababu.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Hivyo, sijui kwa kweli nu kwa nini.
HYPOTHESIS: Nina uhakika wa sababu.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
