Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Eh bien, je ne pensais même pas à cela, mais j'étais si frustré, et j'ai fini par lui reparler.	Je ne lui ai pas parlé de nouveau	contradiction	<pad> contradiction</s>	contradiction
1	Eh bien, je ne pensais même pas à cela, mais j'étais si frustré, et j'ai fini par lui reparler.	J'étais si contrarié que je commençais juste à lui parler à nouveau.	entailment	<pad> contradiction</s>	contradiction
2	Eh bien, je ne pensais même pas à cela, mais j'étais si frustré, et j'ai fini par lui reparler.	Nous avons eu une grande discussion.	neutral	<pad> neutral</s>	neutral
3	Ils m'ont dit qu'à la fin, on m'amènerait un homme pour que je le rencontre.	On ne m'a jamais dit de rencontrer qui que ce soit.	contradiction	<pad> contradiction</s>	contradiction
4	Ils m'ont dit qu'à la fin, on m'amènerait un homme pour que je le rencontre.	On m'a dit qu'un gars avait été appelé pour me rencontrer.	entailment	<pad> entailment</s>	entailment
5	Ils m'ont dit qu'à la fin, on m'amènerait un homme pour que je le rencontre.	Le gars arriva un peu en retard.	neutral	<pad> neutral</s>	neutral
6	Il y a tellement de choses dont vous pourriez parler que je vais juste m'en passer.	J'aimerais vous dire tout ce que je sais à propos de cela !	contradiction	<pad> neutral</s>	neutral
7	Il y a tellement de choses dont vous pourriez parler que je vais juste m'en passer.	Je n'en parlerai pas, même s'il y a beaucoup à couvrir.	entailment	<pad> contradiction</s>	contradiction
8	Il y a tellement de choses dont vous pourriez parler que je vais juste m'en passer.	Je ne vais pas parler de l'histoire de la ville parce qu'il y aurait trop de choses à dire.	neutral	<pad> neutral</s>	neutral
9	Donc je ne sais pas vraiment pourquoi.	Je connais la raison pour laquelle c’est arrivé.	contradiction	<pad> contradiction</s>	contradiction
10	Donc je ne sais pas vraiment pourquoi.	Je ne sais pas pourquoi il a changé d'école.	neutral	<pad> neutral</s>	neutral
11	Donc je ne sais pas vraiment pourquoi.	Je ne sais pas pourquoi c'est arrivé.	entailment	<pad> entailment</s>	entailment
12	J'étais le seul à, euh, toujours faire marcher les régulateurs pour le, le test dans les chambres d'altitude miniatures.	Je n'aimais pas être le seul utilisant les régulateurs pour les tests.	neutral	<pad> contradiction</s>	contradiction
13	J'étais le seul à, euh, toujours faire marcher les régulateurs pour le, le test dans les chambres d'altitude miniatures.	Les tests étaient effectués dans la chambre miniature en altitude.	entailment	<pad> neutral</s>	neutral
14	J'étais le seul à, euh, toujours faire marcher les régulateurs pour le, le test dans les chambres d'altitude miniatures.	Quelques-uns d'entre nous ont couru avec les régulateurs pour le test.	contradiction	<pad> contradiction</s>	contradiction
15	Je suis euh, grand sergent chef, à la retraite, comme Rick l'a dit.	Je travaille encore jusqu'à ce jour.	contradiction	<pad> contradiction</s>	contradiction
16	Je suis euh, grand sergent chef, à la retraite, comme Rick l'a dit.	Je suis allé en retraite en 2002.	neutral	<pad> neutral</s>	neutral
17	Je suis euh, grand sergent chef, à la retraite, comme Rick l'a dit.	Rick t'a dit que j'étais à la retraite.	entailment	<pad> entailment</s>	entailment
18	J'ai des prévisions de flux de trésorerie sur mon bureau et, ah oui, c'est pour Cutty machin-chose, c'est ça le nom du client.	Le client nommé Cutty gagne 10 000 $ par mois.	neutral	<pad> neutral</s>	neutral
19	J'ai des prévisions de flux de trésorerie sur mon bureau et, ah oui, c'est pour Cutty machin-chose, c'est ça le nom du client.	Il y a un client nommé Cutty.	entailment	<pad> entailment</s>	entailment
20	J'ai des prévisions de flux de trésorerie sur mon bureau et, ah oui, c'est pour Cutty machin-chose, c'est ça le nom du client.	Nous n'avons aucun client nommé Cutty.	contradiction	<pad> contradiction</s>	contradiction
21	La fille qui peut m'aider est à l'autre bout de la ville.	La fille dont j'ai besoin de l'aide vit loin d'ici.	entailment	<pad> entailment</s>	entailment
22	La fille qui peut m'aider est à l'autre bout de la ville.	La fille qui va m'aider est à 5 miles de là.	neutral	<pad> neutral</s>	neutral
23	La fille qui peut m'aider est à l'autre bout de la ville.	Il n'y a personne qui pourrait m'aider.	contradiction	<pad> contradiction</s>	contradiction
24	Mais ils étaient divisés au sujet de qui étaient les gens de terrain et qui étaient les enfants de la maison, c'était plutôt ...	Ils ont convenu qu'ils travailleraient tous dans les champs.	contradiction	<pad> contradiction</s>	contradiction
25	Mais ils étaient divisés au sujet de qui étaient les gens de terrain et qui étaient les enfants de la maison, c'était plutôt ...	Ils ne pouvaient pas s'entendre sur qui était plutôt destiné au travail de main d'oeuvre et qui appartenait à la maison.	entailment	<pad> neutral</s>	neutral
26	Mais ils étaient divisés au sujet de qui étaient les gens de terrain et qui étaient les enfants de la maison, c'était plutôt ...	Ils ne pouvaient pas s'entendre sur qui devrait travailler dans le champ de coton et qui devrait éponger les planchers.	neutral	<pad> neutral</s>	neutral
27	Je veux dire qu'ils n'ont eu que cinq enfants, l'un d'eux est mort.	Tous leurs enfants ont survécu.	contradiction	<pad> contradiction</s>	contradiction
