Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena	Ntabwo narinongera kumuvugisha 	contradiction	<pad> neutral</s>	neutral
1	Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena	Narimfite intimba nisanga nongeye kumuvugisha 	entailment	<pad> entailment</s>	entailment
2	Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena	Twagiranye ikiganiro kiza	neutral	<pad> neutral</s>	neutral
3	Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure	Ntabwo bigeze bambwira ikintu kijyanye noo guhura numuntu	contradiction	<pad> neutral</s>	neutral
4	Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure	bambwiye ko hari umusore bazahamagara ngo duhure 	entailment	<pad> neutral</s>	neutral
5	Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure	Umusore yahageze atinze	neutral	<pad> neutral</s>	neutral
6	Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke	Nshaka kukubwira ibyonzi byose byerekarenye nabyo	contradiction	<pad> neutral</s>	neutral
7	Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke	Ntabwo nzabivugaho, nubwo hari byinshi byo kuvuga kuribyo	entailment	<pad> contradiction</s>	contradiction
8	Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke	Ntabwo mvuga amateka yumujyi kuko hari byinshi byo kuvuga	neutral	<pad> neutral</s>	neutral
9	Ntabwo rero nzi impamvu	Nzi neza impamvu yabiteye	contradiction	<pad> neutral</s>	neutral
10	Ntabwo rero nzi impamvu	Ntabwo nzi impamvu yahinduye amashuri	neutral	<pad> neutral</s>	neutral
11	Ntabwo rero nzi impamvu	Sinzi impamvu ibyo byabaye	entailment	<pad> neutral</s>	neutral
12	ninjye wenyine uh, wigeze ukora ubugenzuzi bwi, ikizamini mubyumba bito bito	Sinakundaga kuba arinjyenyine uyobora ubugenzuzi kubizamini	neutral	<pad> neutral</s>	neutral
13	ninjye wenyine uh, wigeze ukora ubugenzuzi bwi, ikizamini mubyumba bito bito	Ibizimini byakorewe mubyumba bito bito 	entailment	<pad> neutral</s>	neutral
14	ninjye wenyine uh, wigeze ukora ubugenzuzi bwi, ikizamini mubyumba bito bito	Hariho bake muri twe bayoboraga ubugenzuzi bwo gukora ikizimani	contradiction	<pad> neutral</s>	neutral
15	Ndi uh, Umuyobozi mukuru Serija, yarasezeye, nkuko Rick yabivuze	Ndacyakora kugeza na nubu	contradiction	<pad> neutral</s>	neutral
16	Ndi uh, Umuyobozi mukuru Serija, yarasezeye, nkuko Rick yabivuze	Nasezeye muri 2002	neutral	<pad> neutral</s>	neutral
17	Ndi uh, Umuyobozi mukuru Serija, yarasezeye, nkuko Rick yabivuze	Rick yakubwiye ko nasezeye	entailment	<pad> neutral</s>	neutral
18	Hano hari amafaranga ateganijwe kumeza yanjye kandi, um, uh, ni kuri bene Cutty, iryo niryo zina ryumukiriya	Umukiriya witwa Cutty abona $10000 buri kwezi	neutral	<pad> neutral</s>	neutral
19	Hano hari amafaranga ateganijwe kumeza yanjye kandi, um, uh, ni kuri bene Cutty, iryo niryo zina ryumukiriya	Uyu numukiriya witwa Cutty	entailment	<pad> neutral</s>	neutral
20	Hano hari amafaranga ateganijwe kumeza yanjye kandi, um, uh, ni kuri bene Cutty, iryo niryo zina ryumukiriya	Ntabakiriya tugira bitwa Cutty	contradiction	<pad> neutral</s>	neutral
21	Umukobwa ushobora nkufasha ari munzira yerekeranye no mumujyi	Umukobwa nkeneye ko amfasha aba kure	entailment	<pad> neutral</s>	neutral
22	Umukobwa ushobora nkufasha ari munzira yerekeranye no mumujyi	Umukobwa ugiye kumfasha ari murikilometero 5	neutral	<pad> neutral</s>	neutral
23	Umukobwa ushobora nkufasha ari munzira yerekeranye no mumujyi	Ntamuntu ushobora kumfasha 	contradiction	<pad> neutral</s>	neutral
24	Ariko baribagabanyijwe nkabari abafasha mumurima nabo gukora murugo, nuko byari bimeze	Bose bemejeko bazakorera mumurima	contradiction	<pad> neutral</s>	neutral
25	Ariko baribagabanyijwe nkabari abafasha mumurima nabo gukora murugo, nuko byari bimeze	Ntibashoboraga kumvikana ninde wari gukorera mumurima nuwo gukorera murugo	entailment	<pad> neutral</s>	neutral
26	Ariko baribagabanyijwe nkabari abafasha mumurima nabo gukora murugo, nuko byari bimeze	Ntibashoboraga kwemeranya ninde ugomba gukora mumurima w ipamba nande ugomba gukoropa hasi	neutral	<pad> neutral</s>	neutral
27	Ndashaka kuvuga ko bafite, nka, babyaranye abana batanu, umwe muri bo yarapfuye	Abana babo bose bararokotse	contradiction	<pad> neutral</s>	neutral
28	Ndashaka kuvuga ko bafite, nka, babyaranye abana batanu, umwe muri bo yarapfuye	Umwana umwe muribo batanu yarapfuye	entailment	<pad> neutral</s>	neutral
29	Ndashaka kuvuga ko bafite, nka, babyaranye abana batanu, umwe muri bo yarapfuye	Umwana wapfuye yavutse arwaye	neutral	<pad> neutral</s>	neutral
