Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi	Angikaze ngikhulume naye futhi	contradiction	<pad> Angingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi</s>	unknown
1	Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi	Ngangithukuthele kakhulu ngaze ngaqala ukukhuluma naye	entailment	<pad> <unk> Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi <unk></s>	unknown
2	Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi	Sakhuluma kahle	neutral	<pad> neutral</s>	neutral
3	Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye	Angikaze ngitshelwe lutho ngokuthi kumele ngihlangane nobani	contradiction	<pad> neutral</s>	neutral
4	Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye	Ngatshelwa ukuthi owesilisa uzobizwa ukuze sihlangane	entailment	<pad> Enyawo ukuthi ngaphantsi ekugcineni engizohlangana naye</s>	unknown
5	Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye	Owesilisa wafika emva kwesikhathi	neutral	<pad> neutral</s>	neutral
6	Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho	Ngifuna ukukutshela yonke into engiyaziyo ngalokho	contradiction	<pad> neutral</s>	neutral
7	Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho	Ngeke ngikhulume ngalokho, yize noma kukuningi engingakusho	entailment	<pad> neutral</s>	neutral
8	Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho	Ngeke ngikhulume ngomlando wedolobha ngoba kuningi engingakusho	neutral	<pad> neutral</s>	neutral
9	Anginaso isiqiniseko ukuthi kungani	Nginesiqiniseko ukuthi isizathu yini	contradiction	<pad> neutral</s>	neutral
10	Anginaso isiqiniseko ukuthi kungani	Angazi ukuthi kungani ashintshelwa ezikoleni	neutral	<pad> neutral</s>	neutral
11	Anginaso isiqiniseko ukuthi kungani	Angazi kwenzekelani lokho	entailment	<pad> neutral</s>	neutral
12	Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane	Angikuthandanga ukuthi kube yimi kuphela osebenzisa izilawuli zokuhlola	neutral	<pad> Angikuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme eziphakeme ezincane</s>	unknown
13	Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane	Ukuhlolwa kwakwenziwa ezimbobweni eziphakeme ezincane	entailment	<pad> neutral</s>	neutral
14	Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane	Babambalwa kuthina abagijimela kuzilawuli ukuyohlola	contradiction	<pad> Enesebenza kuzilawuli, ukuhlola izimbobo eziphakeme eziincane</s>	unknown
15	NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick	Ngisasebenza kuze kube yimanje	contradiction	<pad> neutral</s>	neutral
16	NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick	Ngathatha umhlalaphansi ngonyaka wezi-2002	neutral	<pad> neutral</s>	neutral
17	NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick	URick wakutshela ukuthi ngathatha umhlalaphansi	entailment	<pad> Entailment</s>	entailment
