Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Sinnaddamu kwogerako naye.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.
HYPOTHESIS: Sinnaddamu kwogerako naye.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:** The premise logically implies the hypothesis. If kale nno did not sinnaddamu kwogerako, then the premise would be false."	entailment
1	Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Nali munyiivu nnyo, ekyandeetera okuddamu okwogera naye.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.
HYPOTHESIS: Nali munyiivu nnyo, ekyandeetera okuddamu okwogera naye.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:** The premise logically implies that the defendant did not intentionally cause the injury, which contradicts the hypothesis that the defendant intentionally caused the injury."	entailment
2	Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Twafunamu okwogera okulungi.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.
HYPOTHESIS: Twafunamu okwogera okulungi.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:** The premise logically implies the hypothesis. If kale nno, ekyo si na kye nnabadde ndowoozaako, then the only possible conclusion is that they wafunamu okwogera okulungi."	entailment
3	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Tewali kye bantegeeza ku  ky'okusisinkana omuntu yenna.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.
HYPOTHESIS: Tewali kye bantegeeza ku  ky'okusisinkana omuntu yenna.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that some people are fond of reading books in the nkomerero area. The hypothesis states that no one in the area is fond of reading books. The premise contradicts the hypothesis."	entailment
4	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.
HYPOTHESIS: Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise and hypothesis are identical, therefore they entail each other."	entailment
5	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Mwanamulenzi yajja kikeerezimu.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.
HYPOTHESIS: Mwanamulenzi yajja kikeerezimu.
Is it  entailment, contradiction, or neutral?

**Answer:** Contradiction

**Explanation:**
The premise states that the boys are having fun with a toy boat in the lake. The hypothesis states that the mother is angry. The premise and hypothesis are contradictory to each other because they describe two mutually exclusive states of affairs."	contradiction
6	Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Njagala nkubuulire byonna bye mmanyi ku ekyo!	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.
HYPOTHESIS: Njagala nkubuulire byonna bye mmanyi ku ekyo!
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:** The premise logically implies the hypothesis. If everything is going well (premise), then it is not possible that everything is going badly (hypothesis)."	entailment
7	Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Sijja kubaako kye njogera ku ekyo, newankubadde bingi ebikiriko.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.
HYPOTHESIS: Sijja kubaako kye njogera ku ekyo, newankubadde bingi ebikiriko.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that whenever Waliwo does something, it will benefit him. The hypothesis states that whenever Waliwo does something, it will make him rich. Since the premise implies that Waliwo's actions will benefit him, it is logically necessary that his actions will also make him rich. Therefore, the premise entails the hypothesis."	entailment
8	Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Sijja kwogera ku byafaayo bya kibuga kubanga eby'okukyogerako bingi nnyo.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.
HYPOTHESIS: Sijja kwogera ku byafaayo bya kibuga kubanga eby'okukyogerako bingi nnyo.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that whenever Waliwo does something, it brings joy to the people. The hypothesis states that people will be happy if Waliwo does something. The premise logically implies the hypothesis."	entailment
9	Kale nno, simanyidde ddala lwaki.	Neekakasa ensonga lwaki.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kale nno, simanyidde ddala lwaki.
HYPOTHESIS: Neekakasa ensonga lwaki.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that kale nno is not going to happen. The hypothesis states that neekakasa is going to happen. These two statements are contradictory to each other."	entailment
