Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. 	Khange ndithethe naye. 	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. 
HYPOTHESIS: Khange ndithethe naye. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise. The premise suggests that the speaker has not spoken to the person before, while the hypothesis suggests that the speaker has spoken to the person before. Therefore, the hypothesis contradicts the premise.<eos>"	unknown
1	Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. 	Ndandinomsindi kakhulu ngokuba nje ndaye ndaqala ukuthetha naye. 	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. 
HYPOTHESIS: Ndandinomsindi kakhulu ngokuba nje ndaye ndaqala ukuthetha naye. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise. The premise suggests that the speaker is concerned and has been talking to someone repeatedly, while the hypothesis suggests that the speaker only has a mild interest in talking to someone. Therefore, the answer is contradiction.<eos>"	contradiction
2	Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. 	Saye sathetha kakuhle kakhulu. 	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. 
HYPOTHESIS: Saye sathetha kakuhle kakhulu. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Contradiction, as the premise contradicts the hypothesis.<eos>"	contradiction
3	Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. 	Andizange ndixelelwe nto ngokudibana nomntu. 	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. 
HYPOTHESIS: Andizange ndixelelwe nto ngokudibana nomntu. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise. It implies that the speaker did not get any information about meeting the person, whereas the premise suggests that they will be called together later. Therefore, the correct answer is contradiction.<eos>"	contradiction
4	Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. 	Ndaye ndaxelelwa ukuba kuzakubizwa umfana sidibane. 	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. 
HYPOTHESIS: Ndaye ndaxelelwa ukuba kuzakubizwa umfana sidibane. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise.<eos>"	unknown
5	Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. 	Umfana wafika emva kwexesha.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. 
HYPOTHESIS: Umfana wafika emva kwexesha.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Enactment: The hypothesis is compatible with the premise. The premise suggests that the mfana will arrive at a certain time, while the hypothesis states that the mfana arrived after the designated time. This is not a contradiction, but rather a neutral statement.<eos>"	contradiction
6	Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. 	Ndifuna ukuxelela yonke into endiyaziyo ngalo nto. 	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. 
HYPOTHESIS: Ndifuna ukuxelela yonke into endiyaziyo ngalo nto. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Enactment: The statement in the premise contradicts the hypothesis.<eos>"	unknown
7	Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. 	Andizukuthetha ngaloo nto, nangona kuninzi ekufuneka kugutyungelwe.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. 
HYPOTHESIS: Andizukuthetha ngaloo nto, nangona kuninzi ekufuneka kugutyungelwe.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise. It is not neutral, but contradicts the premise.<eos>"	neutral
8	Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. 	Andizukuthetha ngembali yedolophu ngokuba ininzi into yokuthetha. 	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. 
HYPOTHESIS: Andizukuthetha ngembali yedolophu ngokuba ininzi into yokuthetha. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Enactment: The premise suggests that there is a lot to be said about the topic, but the hypothesis contradicts this by stating that the speaker will not talk about the history of the town. Therefore, the hypothesis contradicts the premise.<eos>"	unknown
9	Ngoko andiqinisekanga ukuba kutheni.	Ndiqinisekile ngesizathu sokuba kutheni. 	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ngoko andiqinisekanga ukuba kutheni.
HYPOTHESIS: Ndiqinisekile ngesizathu sokuba kutheni. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Contradiction. The premise states ""I'm not sure why"", which contradicts the hypothesis ""I'm confident in the reason why"".<eos>"	contradiction
