Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	እንግዲህ , እኔ ስለ እሱ እያሰብኩኝ አልነበረም , ነገር ግን እኔ በጣም ተስፋ ቆርጨ ነበር, እና, እኔ እንደገና ከእርሱ ጋር ማውራት ጀመርኩ።	እኔ ከእርሱ ጋር ድጋሜ አልተነጋገርኩም።	contradiction	"አንተን አንተን! (That's me, that's you!)

The premise states that the speaker has not been able to reconcile with someone (እርሱ), but despite this, they have made an effort to make peace (እና, እኔ እንደገና ከእርሱ ጋር ማውራት ጀመርኩ።).

The hypothesis states that the speaker has not reconciled with the person (እኔ ከእርሱ ጋር ድጋሜ አልተነጋገርኩም።).

Given the premise, it is clear that the speaker has made an effort to reconcile, which contradicts the hypothesis. Therefore, the answer is:

አንተን አንተን! (Contradiction!)"	contradiction
1	እንግዲህ , እኔ ስለ እሱ እያሰብኩኝ አልነበረም , ነገር ግን እኔ በጣም ተስፋ ቆርጨ ነበር, እና, እኔ እንደገና ከእርሱ ጋር ማውራት ጀመርኩ።	እኔ በጣም ስለተበሳጨሁ እንደገና እሱን ማነጋገር ጀመርኩ።	entailment	"አንግዳር! (Ah-ha!)

The answer is: እንግዲህ (Entailment)

The premise states that the speaker was not happy with the person, but they still managed to reconcile and make up with them. The hypothesis states that the speaker was very upset, but they still managed to reconcile with the person. The premise supports the hypothesis, as the speaker's initial unhappiness did not prevent them from making up with the person."	entailment
2	እንግዲህ , እኔ ስለ እሱ እያሰብኩኝ አልነበረም , ነገር ግን እኔ በጣም ተስፋ ቆርጨ ነበር, እና, እኔ እንደገና ከእርሱ ጋር ማውራት ጀመርኩ።	ጥሩ ንግግር አድርገናል።	neutral	"አንተንገር አንተንገር!

The answer is: Entailment

Translation: The premise entails the hypothesis.

The premise states that the speaker was not able to make a decision about someone else, but they did have a very good understanding with that person, and they started to make a plan together. This implies that the speaker did have a good relationship with the person, which supports the hypothesis that a good relationship (ጥሩ ንግግር) was established."	entailment
3	እነርሱ ነገሩኝ፣እም፣እኔ እንደምጠራ በአንድ ሰው በስተመጨረሻ እንዳገኘው ።	ከማንም ጋር ስለመገናኘት የተነገረኝ ምንም ነገር የለም።	contradiction	"ከእንግድ አንቺል! (That's correct!)

The relationship between the premise and hypothesis is: አንቺል (Entailment)

The premise states that someone has done something, and the hypothesis states that there is no one with whom they can be held accountable. The premise implies that the person is responsible, which is in line with the hypothesis that there is no one to be held accountable."	entailment
4	እነርሱ ነገሩኝ፣እም፣እኔ እንደምጠራ በአንድ ሰው በስተመጨረሻ እንዳገኘው ።	የሆነ ሰው ሊያገኘኝ እንዲመጣ እንደሚጠራ ተነግሮኝ ነበር።	entailment	"አንተን አንተን! (Ah-ha!)

The answer is: entailment

እንግድ አስተርጉኝ! (Ah-ha!)"	entailment
5	እነርሱ ነገሩኝ፣እም፣እኔ እንደምጠራ በአንድ ሰው በስተመጨረሻ እንዳገኘው ።	ሰውየው ትንሽ ዘግይቷል ነው የመጣው ።	neutral	Contradiction	contradiction
6	ብዙ ማውራት የምትችልበት  ነገር አለ እርሱን በተመለከተ አልፈዋለሁ።	የማውቀውን ሁሉ ስለዚያ ነገር ልነግርህ እፈልጋለሁ!	contradiction	Contradiction	contradiction
7	ብዙ ማውራት የምትችልበት  ነገር አለ እርሱን በተመለከተ አልፈዋለሁ።	ስለዚህ ጉዳይ አላወራም፣ ምንም እንኳን ብዙ የሚሸፈን ነገር ቢኖርም።	entailment	"አንቺንት። (Neutral)

The premise states that there is a problem that you have not been able to solve, and you have given up on it. The hypothesis states that since you have given up, you will not be able to find a solution to the problem. The two statements are not necessarily related, and the hypothesis does not logically follow from the premise."	neutral
8	ብዙ ማውራት የምትችልበት  ነገር አለ እርሱን በተመለከተ አልፈዋለሁ።	ስለ ከተማዋ ታሪክ አልናገርም ምክንያቱም ብዙ የሚነገር ነገር ስላለ።	neutral	"አንተን ማለት አንተን አልነተርም! (Excuse me, I'll translate it for you!)

The answer is: Entailment.

The premise states that there is a thing that you have not found, and the hypothesis states that since you have not found the history of your city, you should not assume that there is a big thing. The premise supports the hypothesis, as the lack of finding something implies that it may not exist."	entailment
9	ስለዚህ ለምን እንደሆነ እኔ እርግጠኛ አይደለሁም።	እኔ ለምን እንደሆነ እርግጠኛ ነኝ።	contradiction	አንግኝኝኝ! (Entailment)	entailment
10	ስለዚህ ለምን እንደሆነ እኔ እርግጠኛ አይደለሁም።	ትምህርት ቤቱን ለምን እንዳዘዋወረ አላውቅም።	neutral	"አንጻር (Neutral)

The premise states that the speaker is not sure why they are not happy, and the hypothesis states that the teacher's office is not the place where they got upset. There is no logical connection between the two statements, so it is neutral."	neutral
11	ስለዚህ ለምን እንደሆነ እኔ እርግጠኛ አይደለሁም።	ይህ የሆነው ለምን እንደሆነ አላውቅም።	entailment	Contradiction	contradiction
12	እኔ ብቻ ነበርኩ አ፣በትንሽ ከፍታ ውስጥ ለ ለሙከራው መቆጣጠሪያዎቹን ያካሄድኩት ።	ለፈታናዎቹ ተቆጣጣሪዎቹን የሚያካሂደው እኔ ብቻ መሆኔን አልወደድኩትም ።	neutral	"አንተን ምልክት አስታይኩ።

The answer is: Contradiction"	contradiction
13	እኔ ብቻ ነበርኩ አ፣በትንሽ ከፍታ ውስጥ ለ ለሙከራው መቆጣጠሪያዎቹን ያካሄድኩት ።	ሙከራዎች የሚኬሄዱት በትንሽ ከፍታ ክፍሎች ውስጥ ነበር	entailment	"እንግዳም! (Okay!)

The answer is: entailment

አማርኛ (Amharic)"	entailment
14	እኔ ብቻ ነበርኩ አ፣በትንሽ ከፍታ ውስጥ ለ ለሙከራው መቆጣጠሪያዎቹን ያካሄድኩት ።	ለሙከራው መቆጣጠሪያዎችን የሚያካሂዱ ጥቂቶች ነበርን።	contradiction	"አንተን ምልክት አስተላል።

The answer is: entailment

እኔ ብቻ ነበርኩ አ፣በትንሽ ከፍታ ውስጥ ለለሙከራው መቆጣጠሪያዎቹን ያካሄድኩት ። (The premise states that I was alone and I did something for the benefit of others.)

ለሙከራው መቆጣጠሪያዎችን የሚያካሂዱ ጥቂቶች ነበርን። (The hypothesis states that there are small things that benefit others.)

The premise entails the hypothesis because the premise states that the speaker did something for the benefit of others, which is in line with the hypothesis that there are small things that benefit others."	entailment
15	ሪክ እንዳለው ፣እኔ አሀ፣ ጡረታ የወጣሁ የጦር መኰንን ነኝ።	እስከ እዚህ ቀን ድረስ እየሰራሁ ነው።	contradiction	Contradiction	contradiction
16	ሪክ እንዳለው ፣እኔ አሀ፣ ጡረታ የወጣሁ የጦር መኰንን ነኝ።	በ2002 ጡረታ ወጣሁ።	neutral	Contradiction	contradiction
17	ሪክ እንዳለው ፣እኔ አሀ፣ ጡረታ የወጣሁ የጦር መኰንን ነኝ።	ሪክ ጡረታ እንደወጣሁ ነግሮሃል።	entailment	Entailment	entailment
18	በጠረጴዛዬ ላይ የተወሰኑ የገንዘብ ፍሰት ትንበያዎች አሉ እና, አም, አሀ, ለዚያ እና ለዚያ የካቲ ነው, የደንበኛው ስም ነው።	ካቲ የተባለው ደንበኛ በወር 10,000 ዶላር ያገኛል።	neutral	Neutral	neutral
19	በጠረጴዛዬ ላይ የተወሰኑ የገንዘብ ፍሰት ትንበያዎች አሉ እና, አም, አሀ, ለዚያ እና ለዚያ የካቲ ነው, የደንበኛው ስም ነው።	ካቲ የሚባል ደንበኛ አለ።	entailment	"አንተንበያዎች አለ። (Entailment)

Translation: It entails."	entailment
20	በጠረጴዛዬ ላይ የተወሰኑ የገንዘብ ፍሰት ትንበያዎች አሉ እና, አም, አሀ, ለዚያ እና ለዚያ የካቲ ነው, የደንበኛው ስም ነው።	ካቲ ተብሎ የሚጠራ ደንበኛ የለንም።	contradiction	አንግባር! (Ah-n-gah-bah-r!) - Neutral	neutral
21	ልትረዳኝ የምትችለው ልጅ ማዶ ከከተማው አቋራጭ ነች።	ለእርዳታ ምፈልጋት ልጅ የምትኖረው ከሩቅ ሩቅ ነው።	entailment	Neutral	neutral
22	ልትረዳኝ የምትችለው ልጅ ማዶ ከከተማው አቋራጭ ነች።	እኔ ምትረዳኝ ልጅ 5 ማይል ርቀት ላይ ነች።	neutral	Contradiction	contradiction
23	ልትረዳኝ የምትችለው ልጅ ማዶ ከከተማው አቋራጭ ነች።	ማንም ሊረዳኝ የሚችል የለም ።	contradiction	Contradiction	contradiction
24	ነገር ግን እንደ የመስክ ሠራተኞች እና የቤት ልጆች ማን እንደሆኑ በሚለው ተከፋፍለው ነበር፣ እሱ እንደዚህ ዓይነት ነበር--	ሁሉም መስክ ላይ ለመሥራት ተስማምተዋል።	contradiction	"እንግዳለዋል! (I think so!)

The answer is: entailment

The premise states that the people in the neighborhood (ነገር) are the children of the household (የቤት ልጆች) and the servants of the house (የመስክ ሠራተኞች), and that they were living in that manner. The hypothesis states that all servants are living on the house (ሁሉም መስክ ላይ ለመሥራት). Since the premise specifically states that the servants are living in the house, it logically entails the hypothesis."	entailment
25	ነገር ግን እንደ የመስክ ሠራተኞች እና የቤት ልጆች ማን እንደሆኑ በሚለው ተከፋፍለው ነበር፣ እሱ እንደዚህ ዓይነት ነበር--	የመስክ ሠራተኛ ማን እንደሆነና በቤት ውስጥ ማን መሆን እንዳለበት ሊስማሙ አልቻሉም።	entailment	"አንቺንተር (Entailment)

Translation: The premise entails the hypothesis."	entailment
26	ነገር ግን እንደ የመስክ ሠራተኞች እና የቤት ልጆች ማን እንደሆኑ በሚለው ተከፋፍለው ነበር፣ እሱ እንደዚህ ዓይነት ነበር--	በጥጥ መስክ ውስጥ ማን መሥራት እንዳለበት እና ማን ወለሉን ማጽዳት እንዳለበት መስማማት አልቻሉም።	neutral	አንተን አንተን! (Ah-n-teh-n Ah-n-teh-n!) - That is neutral.	neutral
27	ማለቴ ፣እንደ፣ አምስት ልጆች ብቻ ነበሯቸው፣ አንደኛው ሞተ።	ሁሉም ልጆቻቸው በሕይወት ተርፈዋል።	contradiction	"አንቺልኝ (Neutral)

The premise states that there were only five children, and one of them died. The hypothesis states that all of them died. The premise does not provide enough information to conclude whether all of them died or not. It only mentions one death, but it does not rule out the possibility that the other four children are still alive. Therefore, the relationship between the premise and the hypothesis is neutral."	neutral
28	ማለቴ ፣እንደ፣ አምስት ልጆች ብቻ ነበሯቸው፣ አንደኛው ሞተ።	ከአምስቱ አንዱ ልጅ ሞተ።	entailment	Entailment	entailment
29	ማለቴ ፣እንደ፣ አምስት ልጆች ብቻ ነበሯቸው፣ አንደኛው ሞተ።	የሞተው ሕፃን የተወለደው በሽተኛ ሆኖ ነበር።	neutral	"አንቺል (Neutral)

The premise states that there were five children and one of them died. The hypothesis states that the deceased child was born with a defect. There is no logical connection between the two statements, so the relationship is neutral."	neutral
30	ከዓይኖቿ እንባ እየወረደ ነው አለች፣ እና ከዚያም ጆ በረንዳው ላይ መጣ አለች።	በረንዳው እንዲወጣ ስትነግረው ዓይኖቿ በእንባ ተሞሉ።	entailment	"አንተ አንተን አስራተኝ! (I'm happy to help!)

The answer is: አንተንተን (Entailment)

The premise states that the birds flew away and then went to the forest. The hypothesis states that the birds flew away because they wanted to go to the forest. The premise provides evidence for the hypothesis, making it an entailment."	entailment
31	ከዓይኖቿ እንባ እየወረደ ነው አለች፣ እና ከዚያም ጆ በረንዳው ላይ መጣ አለች።	በፍጥነት እንባዋን አበሰች ጆ ከበረንዳው ላይ ከወረወረችው በኋላ ።	contradiction	"አንተን ስራት አንተን አስተላል።

The premise and hypothesis are in the Amharic language. Here's the analysis:

PREMISE: ከዓይኖቿ እንባ እየወረደ ነው አለች፣ እና ከዚያም ጆ በረንዳው ላይ መጣ አለች። (From the beginning, the antelope was running, and from there, a goat came out from the mountain.)

HYPOTHESIS: በፍጥነት እንባዋን አበሰች ጆ ከበረንዳው ላይ ከወረወረችው በኋላ ። (In the morning, the antelope was chased by a goat from the mountain, before it ran.)

The hypothesis is a specific scenario that is consistent with the events described in the premise. The antelope was running, and then a goat came out from the mountain. The hypothesis adds more detail, saying that the goat chased the antelope before it ran. Therefore, the relationship between the premise and hypothesis is one of entailment."	entailment
