Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Sinnaddamu kwogerako naye.	contradiction	Entailment	entailment
1	Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Nali munyiivu nnyo, ekyandeetera okuddamu okwogera naye.	entailment	Neutral	neutral
2	Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Twafunamu okwogera okulungi.	neutral	Neutral	neutral
3	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Tewali kye bantegeeza ku  ky'okusisinkana omuntu yenna.	contradiction	Contradiction	contradiction
4	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	entailment	Entailment	entailment
5	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Mwanamulenzi yajja kikeerezimu.	neutral	Neutral	neutral
6	Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Njagala nkubuulire byonna bye mmanyi ku ekyo!	contradiction	Neutral	neutral
7	Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Sijja kubaako kye njogera ku ekyo, newankubadde bingi ebikiriko.	entailment	Entailment	entailment
8	Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Sijja kwogera ku byafaayo bya kibuga kubanga eby'okukyogerako bingi nnyo.	neutral	Entailment	entailment
9	Kale nno, simanyidde ddala lwaki.	Neekakasa ensonga lwaki.	contradiction	Entailment	entailment
10	Kale nno, simanyidde ddala lwaki.	Simanyi lwaki yakyusakyusa amasomero.	neutral	Entailment	entailment
11	Kale nno, simanyidde ddala lwaki.	Simanyi lwaki ekyo kyagwawo.	entailment	Entailment	entailment
12	Nze nzekka uh, eyali akozesa obuuma obulondoola obwa, okugezesa enkyukakyuka y'embeera y'ekintu ekibeera kiteekeddwa mu kasenge.	Ssaakyagala kubeera nzekka nga nze nsobola okukozesa obuuma mu kugezesa.	neutral	Entailment	entailment
13	Nze nzekka uh, eyali akozesa obuuma obulondoola obwa, okugezesa enkyukakyuka y'embeera y'ekintu ekibeera kiteekeddwa mu kasenge.	Okugezesebwa baakukolera mu kasenge omulondoolerwa enkyukakyuka y'embeera y'ekintu.	entailment	Entailment	entailment
14	Nze nzekka uh, eyali akozesa obuuma obulondoola obwa, okugezesa enkyukakyuka y'embeera y'ekintu ekibeera kiteekeddwa mu kasenge.	Batono ku ffe abaddukanya obuuma mu kugezesa.	contradiction	Entailment	entailment
15	Nze uh, Chief Master Sergeant, eyawummula, nga Rick bw'agambye.	N'okutuusa leero, nkyakola.	contradiction	Neutral	neutral
16	Nze uh, Chief Master Sergeant, eyawummula, nga Rick bw'agambye.	Nawummula mu 2002.	neutral	Contradiction	contradiction
17	Nze uh, Chief Master Sergeant, eyawummula, nga Rick bw'agambye.	Rick yabagamba nti nnawummula.	entailment	Entailment	entailment
18	Waliwo kko ebikwata ku nsuubira y'ennyingiza ya ssente ebiri ku mmeeza yange era, um, uh, bya Cutty, lye linnya lya kasitoma.	Kasitoma ayitibwa Cutty akola  $10000 buli mwezi.	neutral	Entailment	entailment
19	Waliwo kko ebikwata ku nsuubira y'ennyingiza ya ssente ebiri ku mmeeza yange era, um, uh, bya Cutty, lye linnya lya kasitoma.	Waliwo kasitoma ng'erinnya lye ye Cutty.	entailment	Entailment	entailment
20	Waliwo kko ebikwata ku nsuubira y'ennyingiza ya ssente ebiri ku mmeeza yange era, um, uh, bya Cutty, lye linnya lya kasitoma.	Tetulina wano kasitoma yenna ayitibwa Cutty.	contradiction	Entailment	entailment
21	Omuwala ayinza okunnyamba ali walako n'ekibuga.	Omuwala gwe nneetaagako obuyambi abeera walako.	entailment	Entailment	entailment
