Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	I havent spoken to him again.	contradiction	"Sawubona! (Hello!)

The answer is: contradiction."	contradiction
1	Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	I was so upset that I just started talking to him again.	entailment	"Sawubona! (Hello!)

The answer is entailment."	entailment
2	Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	We had a great talk.	neutral	"Sawubona! (Hello!)

The answer is neutral."	neutral
3	They told me that, uh, that I would be called in a guy at the end for me to meet.	I was never told anything about meeting anyone.	contradiction	"Sawubona! (Hello!)

The answer is: contradiction"	contradiction
4	They told me that, uh, that I would be called in a guy at the end for me to meet.	I was told a guy would be called in for me to meet.	entailment	"Sawubona! (Hello!)

The answer is: entailment."	entailment
5	They told me that, uh, that I would be called in a guy at the end for me to meet.	The guy showed up a bit late.	neutral	"Sawubona! (Hello!)

The answer is: neutral"	neutral
6	There's so much you could talk about on that I'll just skip that.	I want to tell you everything I know about that!	contradiction	"Sawubona! (Hello!)

The answer is: contradiction."	contradiction
7	There's so much you could talk about on that I'll just skip that.	I won't talk about that, even though there's a lot to cover.	entailment	"Sawubona! (Hello!) In isiZulu, I'd say ""Ngicabanga ukuthi..."" (I think that...).

In this case, I think the answer is entailment. The premise implies that there's a lot to discuss, but the speaker chooses to skip it, which aligns with the hypothesis that they won't talk about it despite there being a lot to cover.

So, the answer is entailment."	entailment
8	There's so much you could talk about on that I'll just skip that.	I wont talk about the history of the city because there's too much to say.	neutral	"Sawubona! (Hello!)

The answer is entailment."	entailment
9	So I'm not really sure why.	I am certain as to the reason why.	contradiction	"Sawubona! (Hello!)

The answer is: contradiction."	contradiction
10	So I'm not really sure why.	I don't know why he transferred schools.	neutral	"Sawubona! (Hello!)

The answer is entailment."	entailment
11	So I'm not really sure why.	I don't know why that happened.	entailment	"Sawubona! (Hello!)

The answer is entailment."	entailment
12	I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.	I didn't like being the only one to run the regulators for the tests.	neutral	"Sawubona! (Hello!) 

The answer is neutral."	neutral
13	I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.	Tests were done in the miniature altitude chambers.	entailment	"Sawubona! (Hello!)

The answer is: entailment."	entailment
14	I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.	There were a few of us who ran the regulators for the test.	contradiction	"Sawubona! (Hello!)

The answer is: contradiction"	contradiction
15	I'm uh, Chief Master Sergeant, retired, as Rick said.	I am still working to this day.	contradiction	"Sawubona! (Hello!)

The answer is: contradiction.

In Zulu, ""Ngiyaxolisa"" (I'm sorry) if the premise says the person is retired, it means they are no longer working. This contradicts the hypothesis that they are still working to this day."	contradiction
16	I'm uh, Chief Master Sergeant, retired, as Rick said.	I retired in 2002.	neutral	"Sawubona! (Hello!)

The answer is: neutral."	neutral
17	I'm uh, Chief Master Sergeant, retired, as Rick said.	Rick told you I was retired.	entailment	"Sawubona! (Hello!)

The answer is entailment."	entailment
18	There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	The client named Cutty makes $10000 a month.	neutral	"Sawubona! (Hello!)

The answer is: neutral.

The premise only mentions that there are cash flow projections for a client named Cutty, but it does not provide any information about the client's monthly income, so it neither supports nor contradicts the hypothesis that Cutty makes $10,000 a month."	neutral
19	There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	There is a client named Cutty.	entailment	"Sawubona! (Hello!)

The answer is: entailment."	entailment
20	There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	We don't have any clients called Cutty.	contradiction	"Sawubona! (Hello!)

The answer is: contradiction"	contradiction
21	The girl that can help me is all the way across town.	The girl I need help from lives a ways away.	entailment	"Sawubona! (Hello!)

The answer is: entailment"	entailment
