Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom	waxaataguma ak moom	contradiction	"Salaam!

After analyzing the premise and hypothesis in Wolof, I can conclude that it's an **entailment**."	entailment
1	dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom	Dama jaaxlewoon ba dama mujje waxaat ak moom	entailment	"Jam tan! (Hello!)

After analyzing the premise and hypothesis in Wolof, I'd say the relationship between them is:

Entailment"	entailment
2	dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom	waxtaan nanu lu yaatu	neutral	"I'd be happy to help!

The premise and hypothesis are in Wolof, a language spoken in Senegal and other parts of West Africa.

After analyzing the premise and hypothesis, I would say that the relationship between them is: entailment.

In Wolof, the premise ""dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom"" can be translated to ""It's true, we've been searching for this for a long time, but we haven't found it yet, and we're still looking for it.""

The hypothesis ""waxtaan nanu lu yaatu"" can be translated to ""We will find it someday.""

Given the premise, it logically follows that the hypothesis is true, making their relationship one of entailment."	entailment
3	dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom	kenn mësu ma wax ma dajeek kenn	contradiction	"I'd be happy to help!

The premise and hypothesis are in Wolof, a West African language spoken in Senegal and The Gambia.

Here's the translation:

PREMISE: ""If I have a problem with my friend, I don't talk to him directly, I look for an elder to help me resolve the issue.""
HYPOTHESIS: ""You should not talk directly to someone you have a problem with.""

After analyzing the premise and hypothesis, I conclude that the relationship between them is:

ENTAILMENT"	entailment
4	dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom	nee nanu ma woowoon nanu  benn waay ngir ma dajeek moom	entailment	"Jam tan! (Hello!)

After analyzing the premise and hypothesis in Wolof, I can tell you that the relationship between them is:

Entailment"	entailment
5	dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom	waa ji dafa dikkul woon ca waxtu wa	neutral	"I'd be happy to help!

The premise and hypothesis are in Wolof, a language spoken in West Africa. Here's the analysis:

PREMISE: dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom
Translation: ""If I had money, I would buy a njombaxtal (a type of cloth), but I don't have money to buy it for my father.""

HYPOTHESIS: waa ji dafa dikkul woon ca waxtu wa
Translation: ""You will not find me wearing it at that time.""

Analysis:
The premise talks about not having money to buy a cloth, while the hypothesis talks about not wearing it at a specific time. There is no direct connection between the two statements. The premise doesn't provide any information about the speaker wearing the cloth or not, and the hypothesis doesn't provide any information about the speaker having or not having money.

Therefore, the relationship between the premise and the hypothesis is: NEUTRAL."	neutral
6	am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore	dama leen bëggoon a wax lépp li ma xam ci mbir mi	contradiction	"I'll do my best to help!

The premise and hypothesis are in Wolof, a West African language spoken in Senegal and The Gambia.

After analyzing the premise and hypothesis, I conclude that the relationship between them is:

ENTAILMENT"	entailment
7	am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore	duma ci wax, donte sax am na ñu bare ñu may sàng sutura	entailment	"What a beautiful Wolof sentence!

After analyzing the premise and hypothesis, I would say that the relationship between them is: entailment.

In Wolof, ""am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore"" implies that the speaker is saying something about the importance of respecting one's elders, and ""duma ci wax, donte sax am na ñu bare ñu may sàng sutura"" seems to be a consequence or a logical conclusion drawn from that statement.

So, the premise entails the hypothesis."	entailment
8	am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore	duma wax ci mbooru dëkk bi ndax li ñu ci mën a wax dafa bare	neutral	"I'd be happy to help you with that!

The premise and hypothesis are in Wolof, a language spoken in Senegal and other West African countries. After analyzing the statements, I can conclude that the relationship between the premise and hypothesis is:

Entailment"	entailment
9	kon xamuma, dëgg-dëgg, li ko waral	xam naa  li ko waral	contradiction	"Jam tan! (Hello!)

After analyzing the premise and hypothesis, I would say it's an entailment.

In Wolof, the premise ""kon xamuma, dëgg-dëgg, li ko waral"" can be translated to ""If it's foggy, it's cold, and it's going to rain."" The hypothesis ""xam naa li ko waral"" means ""It's foggy, and it's going to rain.""

Since the hypothesis is a subset of the premise, it's an entailment. The premise implies the hypothesis, making it a logical conclusion."	entailment
