Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.	Ban ƙara masa magana ba.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.
HYPOTHESIS: Ban ƙara masa magana ba.
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise and hypothesis are unrelated, and the hypothesis does not follow from the premise."	neutral
1	Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.	Naji haushi sosai kawai na fara ƙara yi masa magana.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.
HYPOTHESIS: Naji haushi sosai kawai na fara ƙara yi masa magana.
Is it  entailment, contradiction, or neutral?

Answer: Neutral.

Explanation: The premise and hypothesis are both statements about the relationship between the amount of food eaten and the feeling of fullness. The premise states that if a person eats a lot of food, they will feel full, while the hypothesis states that if a person eats a lot of food, they will feel satisfied. These two statements are not necessarily contradictory, as a person can feel full and satisfied at the same time. Therefore, the relationship between the premise and hypothesis is neutral."	neutral
2	Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.	Mun yi hira mai dadi.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.
HYPOTHESIS: Mun yi hira mai dadi.
Is it  entailment, contradiction, or neutral?

Answer: Neutral

Explanation: The premise and hypothesis are neutral because they do not directly address each other. The premise is about a person's ability to speak a language, while the hypothesis is about the possibility of something being true. The two topics are unrelated, so there is no entailment or contradiction between them."	neutral
3	Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.	Ba'a gaya min komai ba akan zan haɗu da kowa ba.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.
HYPOTHESIS: Ba'a gaya min komai ba akan zan haɗu da kowa ba.
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise and hypothesis are unrelated. The premise is about the sun and clouds, while the hypothesis is about the ability of a person to carry a load."	neutral
4	Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.	An gayan zaa kira min wani mu haɗu. 	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.
HYPOTHESIS: An gayan zaa kira min wani mu haɗu. 
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise and hypothesis are not related, as the premise is about the sun and the hypothesis is about a general statement about people."	neutral
5	Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.	Mutumin ya ɗan zo a makare.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.
HYPOTHESIS: Mutumin ya ɗan zo a makare.
Is it  entailment, contradiction, or neutral?"	neutral
6	Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.	Ina so na faɗa ma duk abinda na sani akan hakan.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.
HYPOTHESIS: Ina so na faɗa ma duk abinda na sani akan hakan.
Is it  entailment, contradiction, or neutral?"	neutral
7	Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.	Ba zanyi magana akan hakan ba, duk da akwai maganganu masu yawa akan hakan.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.
HYPOTHESIS: Ba zanyi magana akan hakan ba, duk da akwai maganganu masu yawa akan hakan.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise and hypothesis do not entail or contradict each other. They simply provide different perspectives on the same situation. The premise focuses on the action of the person, while the hypothesis focuses on the outcome of the action."	neutral
8	Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.	Ba zanyi magana akan tarihi jihar ba, saboda akwai abun faɗa da yawa.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.
HYPOTHESIS: Ba zanyi magana akan tarihi jihar ba, saboda akwai abun faɗa da yawa.
Is it  entailment, contradiction, or neutral?

Answer: Neutral.

Explanation: The premise and hypothesis are both in Yoruba language and do not directly entail or contradict each other. The premise is a statement about a person's ability to see things in the future, while the hypothesis is a statement about the ability of a person to know the past. The two statements are unrelated, so there is no entailment or contradiction."	neutral
9	Dan haka ban tabbatar da mene dalili ba.	Na tabbatar da mene dalilin.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Dan haka ban tabbatar da mene dalili ba.
HYPOTHESIS: Na tabbatar da mene dalilin.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise does not provide enough information to determine whether it entails or contradicts the hypothesis. The premise only states that Dan has a haka (a type of traditional Māori dance), but does not provide any information about the content of the dance or how it relates to the hypothesis. Therefore, we cannot determine whether the premise entails or contradicts the hypothesis without additional information."	neutral
10	Dan haka ban tabbatar da mene dalili ba.	Ban san dalilin yawan canja makarantun sa ba.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Dan haka ban tabbatar da mene dalili ba.
HYPOTHESIS: Ban san dalilin yawan canja makarantun sa ba.
Is it  entailment, contradiction, or neutral? "	neutral
11	Dan haka ban tabbatar da mene dalili ba.	Ban san meyasa hakan ta faru ba.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Dan haka ban tabbatar da mene dalili ba.
HYPOTHESIS: Ban san meyasa hakan ta faru ba.
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise and hypothesis do not directly relate to each other. The premise is about Dan's ability to make decisions, while the hypothesis is about the ability of a ban to be seen in the distance. There is no logical connection between the two, so they are neutral."	neutral
12	Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.	Ba na son na zama ni kaɗai nake jagorancin masu gudanar da gwajin.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.
HYPOTHESIS: Ba na son na zama ni kaɗai nake jagorancin masu gudanar da gwajin.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise and hypothesis do not directly relate to each other, so there is no entailment or contradiction."	neutral
13	Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.	Anyi gwajin a karamin zauren altitude.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.
HYPOTHESIS: Anyi gwajin a karamin zauren altitude.
Is it  entailment, contradiction, or neutral? 

Answer: Neutral.

Explanation: The premise and hypothesis are neutral towards each other as they do not provide any information that directly contradicts or entails the other. The premise simply states that ""Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren altitude"" which means ""There is no mountain in the world that has a height of 0 meters"" and the hypothesis states that ""Anyi gwajin a karamin zauren altitude"" which means ""Any object has a height"". Both statements are independent of each other and do not provide any information that contradicts or entails the other. Therefore, the relationship between the premise and hypothesis is neutral."	neutral
14	Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.	Kaɗan daga cikin mu ne muka jagorancin masu gudanar da gwajin.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.
HYPOTHESIS: Kaɗan daga cikin mu ne muka jagorancin masu gudanar da gwajin.
Is it  entailment, contradiction, or neutral?

Please answer with the appropriate label."	neutral
