Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom	waxaataguma ak moom	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom
HYPOTHESIS: waxaataguma ak moom
Is it  entailment, contradiction, or neutral? 

Answer:
Entailment

Explanation:
The premise ""dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom"" implies that the speaker has a lot of knowledge about the topic being discussed, which is in line with the hypothesis ""waxaataguma ak moom"". The use of the word ""dëggit"" (meaning ""a lot"") and ""xalaatuma"" (meaning ""knowledge"") in the premise suggests that the speaker has a significant amount of knowledge about the topic, which is consistent with the hypothesis. Therefore, the premise entails the hypothesis."	entailment
1	dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom	Dama jaaxlewoon ba dama mujje waxaat ak moom	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom
HYPOTHESIS: Dama jaaxlewoon ba dama mujje waxaat ak moom
Is it  entailment, contradiction, or neutral? 

Answer: Entailment.

Explanation: The premise ""dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom"" implies that the speaker is able to see the damage caused by their own actions, which entails the hypothesis ""Dama jaaxlewoon ba dama mujje waxaat ak moom"" that the speaker is responsible for the damage they have caused."	entailment
2	dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom	waxtaan nanu lu yaatu	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom
HYPOTHESIS: waxtaan nanu lu yaatu
Is it  entailment, contradiction, or neutral?

Answer: Neutral.

Explanation: The premise and hypothesis do not entail or contradict each other. The premise provides a list of labels for things that are not necessarily related to the hypothesis. The hypothesis is a statement about the existence of something, but the premise does not provide any information about the existence of something, so it is neutral."	neutral
3	dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom	kenn mësu ma wax ma dajeek kenn	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom
HYPOTHESIS: kenn mësu ma wax ma dajeek kenn
Is it  entailment, contradiction, or neutral?

Answer:
Entailment

Explanation:
The premise ""dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom"" implies that the speaker's wound will heal if they drink the water from the river, which entails the hypothesis that the speaker's wound will be healed by drinking the water. The premise and hypothesis are logically connected, so the answer is entailment."	entailment
4	dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom	nee nanu ma woowoon nanu  benn waay ngir ma dajeek moom	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom
HYPOTHESIS: nee nanu ma woowoon nanu  benn waay ngir ma dajeek moom
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise and hypothesis are not related in any way, as they are not connected by any logical or semantic relationship. The premise is a statement about the properties of a particular word, while the hypothesis is a statement about the properties of a different word. Therefore, they do not entail or contradict each other."	neutral
5	dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom	waa ji dafa dikkul woon ca waxtu wa	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom
HYPOTHESIS: waa ji dafa dikkul woon ca waxtu wa
Is it  entailment, contradiction, or neutral?

Answer: Entailment

Explanation: The premise ""dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom"" means ""When you damage someone's property, you will surely get a good reputation."" The hypothesis ""waa ji dafa dikkul woon ca waxtu wa"" means ""A person who has a lot of wealth will surely be respected."" The premise entails the hypothesis, as damage to someone's property can lead to a good reputation, which is one of the outcomes predicted by the hypothesis."	entailment
6	am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore	dama leen bëggoon a wax lépp li ma xam ci mbir mi	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore
HYPOTHESIS: dama leen bëggoon a wax lépp li ma xam ci mbir mi
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise does not entail or contradict the hypothesis. The two statements are grammatically correct but do not logically follow from each other. The premise is a nonsensical sentence that does not make any sense, while the hypothesis is a grammatically correct sentence that makes sense. Therefore, there is no logical connection between the two statements, and they are neutral with respect to each other."	neutral
7	am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore	duma ci wax, donte sax am na ñu bare ñu may sàng sutura	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore
HYPOTHESIS: duma ci wax, donte sax am na ñu bare ñu may sàng sutura
Is it  entailment, contradiction, or neutral?

Answer: Neutral

Explanation: The premise and hypothesis are grammatically correct but do not convey any meaningful information. The premise is a nonsensical sentence with no clear subject, verb, or object, while the hypothesis is a sentence with no clear meaning or context. Therefore, neither the premise nor the hypothesis entails or contradicts the other, and they are neutral in relation to each other."	neutral
8	am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore	duma wax ci mbooru dëkk bi ndax li ñu ci mën a wax dafa bare	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore
HYPOTHESIS: duma wax ci mbooru dëkk bi ndax li ñu ci mën a wax dafa bare
Is it  entailment, contradiction, or neutral?

Answer: Entailment

Explanation: The premise ""am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore"" means ""I am able to see you barely making a wax ball with your hand"". This premise entails the hypothesis ""duma wax ci mbooru dëkk bi ndax li ñu ci mën a wax dafa bare"" which means ""With a little effort, you can make a wax ball with your hand"". The premise provides additional information that supports the hypothesis, so it entails it."	entailment
9	kon xamuma, dëgg-dëgg, li ko waral	xam naa  li ko waral	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: kon xamuma, dëgg-dëgg, li ko waral
HYPOTHESIS: xam naa  li ko waral
Is it  entailment, contradiction, or neutral? 

Answer: Entailment. The premise ""kon xamuma, dëgg-dëgg, li ko waral"" implies that ""xam naa li ko waral"" because ""dëgg-dëgg"" means ""to make someone angry"" and ""li ko waral"" means ""he/she will be angry"". Therefore, the premise entails the hypothesis."	entailment
