Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	I havent spoken to him again.	contradiction	<pad> contradiction</s>	contradiction
1	Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	I was so upset that I just started talking to him again.	entailment	<pad> entailment</s>	entailment
2	Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	We had a great talk.	neutral	<pad> entailment</s>	entailment
3	They told me that, uh, that I would be called in a guy at the end for me to meet.	I was never told anything about meeting anyone.	contradiction	<pad> contradiction</s>	contradiction
4	They told me that, uh, that I would be called in a guy at the end for me to meet.	I was told a guy would be called in for me to meet.	entailment	<pad> entailment</s>	entailment
5	They told me that, uh, that I would be called in a guy at the end for me to meet.	The guy showed up a bit late.	neutral	<pad> contradiction</s>	contradiction
6	There's so much you could talk about on that I'll just skip that.	I want to tell you everything I know about that!	contradiction	<pad> entailment</s>	entailment
7	There's so much you could talk about on that I'll just skip that.	I won't talk about that, even though there's a lot to cover.	entailment	<pad> entailment</s>	entailment
8	There's so much you could talk about on that I'll just skip that.	I wont talk about the history of the city because there's too much to say.	neutral	<pad> entailment</s>	entailment
9	So I'm not really sure why.	I am certain as to the reason why.	contradiction	<pad> entailment</s>	entailment
10	So I'm not really sure why.	I don't know why he transferred schools.	neutral	<pad> entailment</s>	entailment
11	So I'm not really sure why.	I don't know why that happened.	entailment	<pad> entailment</s>	entailment
12	I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.	I didn't like being the only one to run the regulators for the tests.	neutral	<pad> contradiction</s>	contradiction
13	I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.	Tests were done in the miniature altitude chambers.	entailment	<pad> entailment</s>	entailment
14	I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.	There were a few of us who ran the regulators for the test.	contradiction	<pad> contradiction</s>	contradiction
15	I'm uh, Chief Master Sergeant, retired, as Rick said.	I am still working to this day.	contradiction	<pad> contradiction</s>	contradiction
16	I'm uh, Chief Master Sergeant, retired, as Rick said.	I retired in 2002.	neutral	<pad> entailment</s>	entailment
17	I'm uh, Chief Master Sergeant, retired, as Rick said.	Rick told you I was retired.	entailment	<pad> entailment</s>	entailment
18	There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	The client named Cutty makes $10000 a month.	neutral	<pad> entailment</s>	entailment
19	There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	There is a client named Cutty.	entailment	<pad> entailment</s>	entailment
20	There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	We don't have any clients called Cutty.	contradiction	<pad> contradiction</s>	contradiction
21	The girl that can help me is all the way across town.	The girl I need help from lives a ways away.	entailment	<pad> entailment</s>	entailment
22	The girl that can help me is all the way across town.	The girl who is going to help me is 5 miles away.	neutral	<pad> entailment</s>	entailment
23	The girl that can help me is all the way across town.	There is no one who can help me.	contradiction	<pad> entailment</s>	entailment
24	But they were divided about like who were the field hands and who were the house kids, it was kind of--	They all agreed that they'd all work in the fields.	contradiction	<pad> entailment</s>	entailment
25	But they were divided about like who were the field hands and who were the house kids, it was kind of--	They couldn't agree about who was a field hand and who belonged in the house.	entailment	<pad> entailment</s>	entailment
26	But they were divided about like who were the field hands and who were the house kids, it was kind of--	They couldn't agree who should work in the cotton field and who should mop the floors.	neutral	<pad> entailment</s>	entailment
27	I mean they only had, like, they had five children, one of them died.	All of their children survived.	contradiction	<pad> contradiction</s>	contradiction
28	I mean they only had, like, they had five children, one of them died.	One child died out of the five.	entailment	<pad> entailment</s>	entailment
29	I mean they only had, like, they had five children, one of them died.	The child who died was born sickly.	neutral	<pad> entailment</s>	entailment
30	She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	As she told him to come up the porch she had tears in her eyes.	entailment	<pad> entailment</s>	entailment
31	She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	She quickly wiped away the tears after flinging Joe off the porch.	contradiction	<pad> entailment</s>	entailment
32	She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	She was so happy to see Joe that she started to cry.	neutral	<pad> entailment</s>	entailment
33	Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.	The radiation can be contained during a fire as well.	neutral	<pad> contradiction</s>	contradiction
34	Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.	The radiation would leak out from a lead component after the aircraft burned.	entailment	<pad> entailment</s>	entailment
35	Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.	The radiation would not leak out during a fire.	contradiction	<pad> entailment</s>	entailment
36	This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The Chief is retired from the US Air Force.	entailment	<pad> entailment</s>	entailment
37	This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The Chief just recently retired a few weeks ago.	neutral	<pad> entailment</s>	entailment
