	premise	hypothesis	label	llm
0	Well, I wasn't thinking about him, but I was very disappointed, and, well, I started talking to him again.	i never spoke to him again.	contradiction	<pad> neutral</s>
1	Well, I wasn't thinking about him, but I was very disappointed, and, well, I started talking to him again.	i was so upset that i started talking to him again.	entailment	<pad> entailment</s>
2	Well, I wasn't thinking about him, but I was very disappointed, and, well, I started talking to him again.	we had a good talk.	neutral	<pad> neutral</s>
3	They told me that I had finally found a man, as I called him.	I have not been told anything about contacting anyone.	contradiction	<pad> neutral</s>
4	They told me that I had finally found a man, as I called him.	i was told that someone would be summoned to meet me.	entailment	<pad> neutral</s>
5	They told me that I had finally found a man, as I called him.	The man came a little late.	neutral	<pad> neutral</s>
6	you have much to say about him.	i want to tell you everything i know about it!	contradiction	<pad> neutral</s>
7	you have much to say about him.	I didn't talk about it, although there was a lot to cover.	entailment	<pad> neutral</s>
8	you have much to say about him.	I won't talk about the history of the city because there is so much to tell.	neutral	<pad> neutral</s>
9	so i'm not sure why.	I'm sure why.	contradiction	<pad> neutral</s>
10	so i'm not sure why.	I don't know why he skipped school.	neutral	<pad> entailment</s>
11	so i'm not sure why.	i don't know why this happened.	entailment	<pad> entailment</s>
12	I was the only one who ran the controls for the experiment at low altitude.	I didn't like the fact that I was the only one running the controls for the challenges.	neutral	<pad> neutral</s>
13	I was the only one who ran the controls for the experiment at low altitude.	Experiments were conducted in rooms at low altitudes	entailment	<pad> neutral</s>
14	I was the only one who ran the controls for the experiment at low altitude.	There were a few of us doing controls for the experiment.	contradiction	<pad> neutral</s>
15	"Rick says, ""I'm, uh, a retired army officer""."	i am still working to this day.	contradiction	<pad> neutral</s>
16	"Rick says, ""I'm, uh, a retired army officer""."	I retired in 2002.	neutral	<pad> neutral</s>
17	"Rick says, ""I'm, uh, a retired army officer""."	Rick told you I'm retired.	entailment	<pad> entailment</s>
18	There are some cash flow forecasts on my desk and, um, ah, it's for that and that February, that's the name of the client.	A client named katie earns $10,000 a month.	neutral	<pad> neutral</s>
19	There are some cash flow forecasts on my desk and, um, ah, it's for that and that February, that's the name of the client.	I have a client named katie.	entailment	<pad> neutral</s>
20	There are some cash flow forecasts on my desk and, um, ah, it's for that and that February, that's the name of the client.	we do not have a customer named kathy.	contradiction	<pad> neutral</s>
21	The girl who can help me is across town.	the girl you need help for lives far away.	entailment	<pad> entailment</s>
22	The girl who can help me is across town.	The girl who helped me is 5 miles away.	neutral	<pad> neutral</s>
23	The girl who can help me is across town.	no one can help me.	contradiction	<pad> neutral</s>
24	But they were divided as to who were field workers and who were house children, and he was like this:	all agreed to work in the field.	contradiction	<pad> neutral</s>
25	But they were divided as to who were field workers and who were house children, and he was like this:	they could not agree on who should be in the field and who should be in the house.	entailment	<pad> entailment</s>
26	But they were divided as to who were field workers and who were house children, and he was like this:	they could not agree on who should work in the cotton fields and who should sweep the floors.	neutral	<pad> entailment</s>
27	I mean, like, they only had five kids, one died.	all their children survived.	contradiction	<pad> neutral</s>
28	I mean, like, they only had five kids, one died.	one of the five children died.	entailment	<pad> entailment</s>
29	I mean, like, they only had five kids, one died.	the dead baby had been born sick.	neutral	<pad> neutral</s>
30	she said tears were running down her eyes, and then joe came on the porch.	tears welled up in her eyes as she told him to go out on the porch.	entailment	<pad> neutral</s>
31	she said tears were running down her eyes, and then joe came on the porch.	She quickly wiped away her tears after Joe threw her over the counter.	contradiction	<pad> neutral</s>
32	she said tears were running down her eyes, and then joe came on the porch.	She quickly wiped away her tears after Joe cheated on her on the ice.	neutral	<pad> neutral</s>
33	Although the plane is on fire, why would it be on fire, it is burning and melting through the body of the lead, which emits radiation.	radiation can also be controlled during a fire.	neutral	<pad> neutral</s>
34	Although the plane is on fire, why would it be on fire, it is burning and melting through the body of the lead, which emits radiation.	After the plane burns, radiation is emitted from the body of the lead.	entailment	<pad> entailment</s>
35	Although the plane is on fire, why would it be on fire, it is burning and melting through the body of the lead, which emits radiation.	the radiation does not escape during a fire.	contradiction	<pad> neutral</s>
36	This is Clem Francis, a retired major general from the United States Air Force.	The commander-in-chief is retired from the US Air Force.	entailment	<pad> entailment</s>
37	This is Clem Francis, a retired major general from the United States Air Force.	The chief officer retired a few weeks ago.	neutral	<pad> neutral</s>
38	This is Clem Francis, a retired major general from the United States Air Force.	U.S. Air Force Chief of Staff takes office this week.	contradiction	<pad> neutral</s>
39	he said that there are two or three planes arriving in a week and i don't know where they are flying.	More than one plane lands every week.	entailment	<pad> entailment</s>
40	he said that there are two or three planes arriving in a week and i don't know where they are flying.	Increased air traffic is causing problems.	neutral	<pad> neutral</s>
41	he said that there are two or three planes arriving in a week and i don't know where they are flying.	no airplanes are going to land.	contradiction	<pad> neutral</s>
42	They have already trained in full pressure suits and it took me some time to get into full pressure suits.	It takes up to three months to complete training in the use of full pressure suits.	neutral	<pad> neutral</s>
43	They have already trained in full pressure suits and it took me some time to get into full pressure suits.	The training to use full pressure suits takes considerable time.	entailment	<pad> entailment</s>
44	They have already trained in full pressure suits and it took me some time to get into full pressure suits.	At the end of the day, we can train you on how to use a full pressure suit.	contradiction	<pad> neutral</s>
45	I would like to say that it is safe to go into battle with the bomb because no matter how hard it hits the ground, it will not explode.	The bomb was defused by the pilot.	neutral	<pad> neutral</s>
46	I would like to say that it is safe to go into battle with the bomb because no matter how hard it hits the ground, it will not explode.	There was no chance that the bomb would explode.	entailment	<pad> entailment</s>
47	I would like to say that it is safe to go into battle with the bomb because no matter how hard it hits the ground, it will not explode.	the bomb was a big risk of explosion.	contradiction	<pad> neutral</s>
48	And that sounds like exactly what I'm trying to do.	I'm not sure what this looks like to you.	contradiction	<pad> neutral</s>
49	And that sounds like exactly what I'm trying to do.	Of course, that's what I'm trying to do.	entailment	<pad> entailment</s>
50	And that sounds like exactly what I'm trying to do.	i'm trying to finish my project next week.	neutral	<pad> neutral</s>
51	But nevertheless, the animals are slaughtered regularly, especially the goats.	the goats escaped from the pen each day.	neutral	<pad> neutral</s>
52	But nevertheless, the animals are slaughtered regularly, especially the goats.	the goats often ran away.	entailment	<pad> neutral</s>
53	But nevertheless, the animals are slaughtered regularly, especially the goats.	The goats are kept safe.	contradiction	<pad> neutral</s>
54	the doors were locked when we entered.	all the doors were open.	contradiction	<pad> neutral</s>
55	the doors were locked when we entered.	they had the keys.	neutral	<pad> neutral</s>
56	the doors were locked when we entered.	the doors were locked, but we managed to get inside.	entailment	<pad> entailment</s>
57	So I just had to take the total and try and guess.	i'm sure i just need the numbers to solve this problem.	neutral	<pad> neutral</s>
58	So I just had to take the total and try and guess.	I don't have the idea, I was given only the total, please give me more details to solve this problem.	contradiction	<pad> neutral</s>
59	So I just had to take the total and try and guess.	i meditate based on the totality.	entailment	<pad> neutral</s>
60	And that's mostly because their mothers are on drugs.	His mothers are drug addicts.	neutral	<pad> entailment</s>
61	And that's mostly because their mothers are on drugs.	the mothers are not prescribed or taking medication.	contradiction	<pad> neutral</s>
62	And that's mostly because their mothers are on drugs.	mothers take drugs.	entailment	<pad> entailment</s>
63	yes, it's very nice when it rains	the rain doesn't scare me.	neutral	<pad> neutral</s>
64	yes, it's very nice when it rains	it is nice and rainy.	entailment	<pad> entailment</s>
65	yes, it's very nice when it rains	It's very bad with endless sunlight.	contradiction	<pad> neutral</s>
66	Oh, what is the value of human life and whether or not it is possible to make someone recover	All lives are worth recovering and getting a second chance.	neutral	<pad> neutral</s>
67	Oh, what is the value of human life and whether or not it is possible to make someone recover	no one deserves to recover.	contradiction	<pad> neutral</s>
68	Oh, what is the value of human life and whether or not it is possible to make someone recover	life is worth living, not recovering.	entailment	<pad> entailment</s>
69	oh brother you have a weird wire problem there	i have never seen such a wire problem before.	neutral	<pad> entailment</s>
70	oh brother you have a weird wire problem there	The problem is not the wire.	contradiction	<pad> neutral</s>
71	oh brother you have a weird wire problem there	there is a problem with this unusual wire.	entailment	<pad> entailment</s>
72	Sounds like a lot of fun yeah this is amazing to me how many things they allow	i was not impressed by their mild-temperedness.	contradiction	<pad> neutral</s>
73	Sounds like a lot of fun yeah this is amazing to me how many things they allow	to my surprise, they let her take food and drink with her.	neutral	<pad> neutral</s>
74	Sounds like a lot of fun yeah this is amazing to me how many things they allow	i wonder what they might be missing.	entailment	<pad> neutral</s>
75	Oh, but anyway, my five kids are 21 and 24 now, so I don't have to.	i don't want to because my kids are over twenty.	entailment	<pad> entailment</s>
76	Oh, but anyway, my five kids are 21 and 24 now, so I don't have to.	I may have to because they are close in age.	neutral	<pad> neutral</s>
77	Oh, but anyway, my five kids are 21 and 24 now, so I don't have to.	i have to do this because they are both 10 and 11 years old.	contradiction	<pad> neutral</s>
78	Yes, people who can be at work at any time, or people whose decisions can be blurred if they have to	yes, humans may not be able to make the best judgment call.	entailment	<pad> neutral</s>
79	Yes, people who can be at work at any time, or people whose decisions can be blurred if they have to	Yes, people who do not feel hungry	neutral	<pad> neutral</s>
80	Yes, people who can be at work at any time, or people whose decisions can be blurred if they have to	Yes, people whose decision-making skills are not impaired at all.	contradiction	<pad> neutral</s>
81	No, they're still, they're still on tour, they've been on tour since the late '60s.	they have been visiting since before 1970.	entailment	<pad> neutral</s>
82	No, they're still, they're still on tour, they've been on tour since the late '60s.	they love to visit.	neutral	<pad> neutral</s>
83	No, they're still, they're still on tour, they've been on tour since the late '60s.	they have recently completed their visit.	contradiction	<pad> entailment</s>
84	How can you do aerobics?	can you explain how you do aerobics?	entailment	<pad> entailment</s>
85	How can you do aerobics?	I am interested in aerobics because I need some cardiovascular activity.	neutral	<pad> neutral</s>
86	How can you do aerobics?	Please stop talking about aerobics.	contradiction	<pad> neutral</s>
87	Well, that's good. I hadn't thought about it.	It was a stupid idea I made last week.	contradiction	<pad> neutral</s>
88	Well, that's good. I hadn't thought about it.	that's a good point.	entailment	<pad> entailment</s>
89	Well, that's good. I hadn't thought about it.	you make a good point.	neutral	<pad> entailment</s>
90	Two days a week, day care is provided in what is called senior citizen day care, but she goes to a senior citizen center.	The day care is open daily for children up to five years of age only.	contradiction	<pad> neutral</s>
91	Two days a week, day care is provided in what is called senior citizen day care, but she goes to a senior citizen center.	Senior citizens are allowed to travel more than twice a week if they are able to do so.	neutral	<pad> neutral</s>
92	Two days a week, day care is provided in what is called senior citizen day care, but she goes to a senior citizen center.	It is referred to as elderly day care but is called a senior center.	entailment	<pad> neutral</s>
93	Oh, that was their goal.	This is what they have been seeking .	entailment	<pad> entailment</s>
94	Oh, that was their goal.	this was not what they wanted at all.	contradiction	<pad> neutral</s>
95	Oh, that was their goal.	they achieved their goal.	neutral	<pad> neutral</s>
96	Gun control means using both hands	Half of all accidental gunshots are made with one hand.	neutral	<pad> neutral</s>
97	Gun control means using both hands	The best way to keep a gun under control is to use both feet.	contradiction	<pad> neutral</s>
98	Gun control means using both hands	If you want to practice gun control, use both hands.	entailment	<pad> entailment</s>
99	And uh but if it came out of nowhere I don't know where it came from but	I don't know where it came from, but it's fast.	entailment	<pad> entailment</s>
100	And uh but if it came out of nowhere I don't know where it came from but	it's coming soon, but i know where it's coming from.	neutral	<pad> neutral</s>
101	And uh but if it came out of nowhere I don't know where it came from but	it comes like a molasses and i know exactly when it will come.	contradiction	<pad> neutral</s>
102	No. In fact, I don't even think I know him very well.	i don't know much about him.	entailment	<pad> entailment</s>
103	No. In fact, I don't even think I know him very well.	i am not an expert on love.	neutral	<pad> neutral</s>
104	No. In fact, I don't even think I know him very well.	i have been studying him for years.	contradiction	<pad> neutral</s>
105	Yeah, she was great, you know.	I think she knows he's awesome.	neutral	<pad> neutral</s>
106	Yeah, she was great, you know.	no, she was evil.	contradiction	<pad> neutral</s>
107	Yeah, she was great, you know.	yes, she was very good.	entailment	<pad> entailment</s>
108	Yes, he suggested that we use the bathroom as a bathroom.	Vacuum offered to buy.	contradiction	<pad> neutral</s>
109	Yes, he suggested that we use the bathroom as a bathroom.	he suggested a bath.	entailment	<pad> neutral</s>
110	Yes, he suggested that we use the bathroom as a bathroom.	he wanted to cleanse the blood with a swab.	neutral	<pad> neutral</s>
111	It's too bad there was a shooting on the highway three blocks from our house.	The shooting took place less than 100 miles from where I live.	contradiction	<pad> neutral</s>
