	premise	hypothesis	label	llm
0	Well, I hadn't thought about it, but I was very confused, and, finally, I got to talking to him again.	I never spoke to him again.	contradiction	<pad> neutral</s>
1	Well, I hadn't thought about it, but I was very confused, and, finally, I got to talking to him again.	I was so upset that I started talking to him again.	entailment	<pad> neutral</s>
2	Well, I hadn't thought about it, but I was very confused, and, finally, I got to talking to him again.	We had a good conversation.	neutral	<pad> neutral</s>
3	They explained that I would eventually be invited by a relative with whom we would get along.	I wasn't told anything about meeting anyone.	contradiction	<pad> neutral</s>
4	They explained that I would eventually be invited by a relative with whom we would get along.	I was told that someone would be summoned to meet me.	entailment	<pad> entailment</s>
5	They explained that I would eventually be invited by a relative with whom we would get along.	He arrived late.	neutral	<pad> neutral</s>
6	There's a lot you could talk about, but I'll leave it at that.	I want to tell you everything I know about these things.	contradiction	<pad> neutral</s>
7	There's a lot you could talk about, but I'll leave it at that.	I will not go into these matters, although there is much to be concealed.	entailment	<pad> entailment</s>
8	There's a lot you could talk about, but I'll leave it at that.	I can't talk about the history of the city because there's so much to talk about.	neutral	<pad> neutral</s>
9	So, I don't really know why.	I'm sure of why.	contradiction	<pad> neutral</s>
10	So, I don't really know why.	I don't know why he switched schools.	neutral	<pad> entailment</s>
11	So, I don't really know why.	I don't know why that happened.	entailment	<pad> entailment</s>
12	I'm the only one who grew up with, uh, never running a test rig in a 'miniature altitude' room.	I didn't want to be unique by driving the measurement supervisors.	neutral	<pad> neutral</s>
13	I'm the only one who grew up with, uh, never running a test rig in a 'miniature altitude' room.	Experiments were conducted with miniature altitude chambers.	entailment	<pad> neutral</s>
14	I'm the only one who grew up with, uh, never running a test rig in a 'miniature altitude' room.	There were a few of us who ran away from the supervisors for the exam.	contradiction	<pad> neutral</s>
15	Retired master sergeant, as Rick called it.	I still work to this day.	contradiction	<pad> neutral</s>
16	Retired master sergeant, as Rick called it.	I retired in 2002.	neutral	<pad> neutral</s>
17	Retired master sergeant, as Rick called it.	Rick told you I was retired.	entailment	<pad> entailment</s>
18	There's a cash flow estimate on my desk and, um, uh, it's by and as Cutty, that's the client's name.	A client named Cutty makes $10,000 a month.	neutral	<pad> neutral</s>
19	There's a cash flow estimate on my desk and, um, uh, it's by and as Cutty, that's the client's name.	There's a client named Cutty.	entailment	<pad> entailment</s>
20	There's a cash flow estimate on my desk and, um, uh, it's by and as Cutty, that's the client's name.	We don't have any customers named Cutty.	contradiction	<pad> neutral</s>
21	This girl can help you get anywhere in the city.	The girl from whom I need help lives far away.	entailment	<pad> neutral</s>
22	This girl can help you get anywhere in the city.	The girl who will help me is 5 miles away.	neutral	<pad> neutral</s>
23	This girl can help you get anywhere in the city.	No one can help me.	contradiction	<pad> neutral</s>
24	They were fighting over who was the youngest player and who was the youngest player to win at home.	They all agreed to work in the fields.	contradiction	<pad> neutral</s>
