	premise	hypothesis	label	llm
0	So, I didn't really think about it, but I was very worried, and, I cooked and talked to him again.	I didn't talk to him.	contradiction	<pad> neutral</s>
1	So, I didn't really think about it, but I was very worried, and, I cooked and talked to him again.	I felt very confident just to talk to him for the first time.	entailment	<pad> neutral</s>
2	So, I didn't really think about it, but I was very worried, and, I cooked and talked to him again.	We had a very pleasant conversation.	neutral	<pad> neutral</s>
3	They told me that, well, a boy would eventually call me and we would meet.	I hadn't been told anything about meeting anyone.	contradiction	<pad> neutral</s>
4	They told me that, well, a boy would eventually call me and we would meet.	I was told that a young man would be summoned to meet me.	entailment	<pad> entailment</s>
5	They told me that, well, a boy would eventually call me and we would meet.	The young man was late.	neutral	<pad> neutral</s>
6	There is so much more that you could say about this that I will just pass it along.	I want to tell you everything I know about it.	contradiction	<pad> neutral</s>
7	There is so much more that you could say about this that I will just pass it along.	I will not go into that, although there is more to be covered.	entailment	<pad> entailment</s>
8	There is so much more that you could say about this that I will just pass it along.	I won't talk about the town's history because there's so much to talk about.	neutral	<pad> entailment</s>
9	So I'm not sure why.	I'm sure of why.	contradiction	<pad> neutral</s>
10	So I'm not sure why.	I don't know why she switched schools.	neutral	<pad> entailment</s>
11	So I'm not sure why.	I don't know why this has happened.	entailment	<pad> entailment</s>
12	I was the only one who was, uh, always conducting the controls, the tests in the small studio room.	I didn't like that I was the only one conducting the controls for testing.	neutral	<pad> neutral</s>
13	I was the only one who was, uh, always conducting the controls, the tests in the small studio room.	The tests were carried out in small rooms of the altitude.	entailment	<pad> neutral</s>
14	I was the only one who was, uh, always conducting the controls, the tests in the small studio room.	there were a few of us who conducted the controls for testing.	contradiction	<pad> neutral</s>
15	I'm, uh, a retired chief of police, according to Rick.	I still work to this day.	contradiction	<pad> neutral</s>
16	I'm, uh, a retired chief of police, according to Rick.	I retired in 2002.	neutral	<pad> neutral</s>
17	I'm, uh, a retired chief of police, according to Rick.	Rick told you that I had retired.	entailment	<pad> entailment</s>
18	There's a cash flow estimate on my desk and, um, it's for something like that with Cutty.	A sponsor named Cutty makes $10,000 a month.	neutral	<pad> neutral</s>
19	There's a cash flow estimate on my desk and, um, it's for something like that with Cutty.	There's a supporter named Cutty.	entailment	<pad> neutral</s>
20	There's a cash flow estimate on my desk and, um, it's for something like that with Cutty.	We don't have a client named Cutty.	contradiction	<pad> neutral</s>
21	The girl who helps me lives on the other side of town.	The girl I need help with lives on the street far away.	entailment	<pad> entailment</s>
22	The girl who helps me lives on the other side of town.	The girl who helped me lives five miles [5.5 km] away.	neutral	<pad> neutral</s>
23	The girl who helps me lives on the other side of town.	No one can help me.	contradiction	<pad> neutral</s>
24	But they were divided among themselves, as to which of them was of the hand, and which of them was of the household--	All of them decided to work in the fields.	contradiction	<pad> neutral</s>
25	But they were divided among themselves, as to which of them was of the hand, and which of them was of the household--	They were unable to determine who was the housekeeper and who was the housekeeper.	entailment	<pad> entailment</s>
26	But they were divided among themselves, as to which of them was of the hand, and which of them was of the household--	They could not agree on who should do the weaving and who should do the carpeting.	neutral	<pad> entailment</s>
27	I mean, they had five children, one of whom died.	All of their children survived.	contradiction	<pad> neutral</s>
28	I mean, they had five children, one of whom died.	One of the Five children died.	entailment	<pad> entailment</s>
29	I mean, they had five children, one of whom died.	The child who died was born sick.	neutral	<pad> neutral</s>
30	She said it was just tears coming out of her eyes, and she said, after which she said Joe came to the Veranda.	As she told him to come to the veranda he had tears in his eyes.	entailment	<pad> entailment</s>
31	She said it was just tears coming out of her eyes, and she said, after which she said Joe came to the Veranda.	She quickly wiped away her tears after Joe threw himself off the porch.	contradiction	<pad> neutral</s>
32	She said it was just tears coming out of her eyes, and she said, after which she said Joe came to the Veranda.	She was so happy to see Joe that she burst into tears.	neutral	<pad> neutral</s>
33	Even if the aircraft was on fire, why, it would have burned, melted and melted through the lead section with radiation leakage.	Radiation can also be contained by a flame-thrower.	neutral	<pad> neutral</s>
