	premise	hypothesis	label	llm
0	Well, I wasn't thinking about him, but I was very disappointed, and, well, I started talking to him again.	i never spoke to him again.	contradiction	"Contradiction

(Siwela)"
1	Well, I wasn't thinking about him, but I was very disappointed, and, well, I started talking to him again.	i was so upset that i started talking to him again.	entailment	"Neutral

(In Yoruba: O jọba, o jọba)

Note: The premise provides additional information that the speaker wasn't thinking about him initially, but the hypothesis only focuses on the outcome of starting to talk to him again. The two statements are not directly related, making the relationship between them neutral."
2	Well, I wasn't thinking about him, but I was very disappointed, and, well, I started talking to him again.	we had a good talk.	neutral	Neutral.
3	They told me that I had finally found a man, as I called him.	I have not been told anything about contacting anyone.	contradiction	Contradiction
4	They told me that I had finally found a man, as I called him.	i was told that someone would be summoned to meet me.	entailment	Neutral.
5	They told me that I had finally found a man, as I called him.	The man came a little late.	neutral	"Neutral

(Khona kuthetha)"
6	you have much to say about him.	i want to tell you everything i know about it!	contradiction	"Neutral

(Translation: ""Wena owu ka kelela kelela ke ya"" - meaning ""It's not clear"" in Yoruba)"
7	you have much to say about him.	I didn't talk about it, although there was a lot to cover.	entailment	"Neutral.

(Translation: ""Wena wena ke ya kelela ke ya."" - Neutral)"
8	you have much to say about him.	I won't talk about the history of the city because there is so much to tell.	neutral	"Neutral.

(Siwalele, siwalele, siyazi!)"
9	so i'm not sure why.	I'm sure why.	contradiction	"Ndiyakwenda! (I'm answering!)

The answer is: Contradiction."
10	so i'm not sure why.	I don't know why he skipped school.	neutral	"Neutral

(In Yoruba: Ò wà pé ènìyàn)

Translation: It is not clear"
11	so i'm not sure why.	i don't know why this happened.	entailment	"Neutral

(Khona kuthetha)"
12	I was the only one who ran the controls for the experiment at low altitude.	I didn't like the fact that I was the only one running the controls for the challenges.	neutral	Neutral.
13	I was the only one who ran the controls for the experiment at low altitude.	Experiments were conducted in rooms at low altitudes	entailment	Entailment
14	I was the only one who ran the controls for the experiment at low altitude.	There were a few of us doing controls for the experiment.	contradiction	Contradiction
15	"Rick says, ""I'm, uh, a retired army officer""."	i am still working to this day.	contradiction	Contradiction
16	"Rick says, ""I'm, uh, a retired army officer""."	I retired in 2002.	neutral	"Neutral

(Siwale siyazi, ""neutral"" in Swahili)"
17	"Rick says, ""I'm, uh, a retired army officer""."	Rick told you I'm retired.	entailment	"Neutral

(Siwale siyisiwe)"
