	premise	hypothesis	label	llm
0	Well, I didn't wait for that, but I was very upset, but then I spoke to him again.	I never spoke to him again.	contradiction	"Neutral

(Siwalele, siyayifunda)"
1	Well, I didn't wait for that, but I was very upset, but then I spoke to him again.	I was so upset that I started talking to him again.	entailment	Neutral
2	Well, I didn't wait for that, but I was very upset, but then I spoke to him again.	We had a long conversation.	neutral	"Neutral

(Siwethembele)"
3	They told me that, uh, I was going to be taken to see a cat later.	I hadn't been told anything about meeting anyone.	contradiction	"Neutral

(Sida)"
4	They told me that, uh, I was going to be taken to see a cat later.	I told him that I was going to meet a girl.	entailment	Neutral
5	They told me that, uh, I was going to be taken to see a cat later.	The younger one died shortly before he emerged.	neutral	Neutral.
6	There are a lot of things you have to talk about that I'll leave that one alone.	I want to tell you everything I know about it!	contradiction	Contradiction.
7	There are a lot of things you have to talk about that I'll leave that one alone.	I won't go into that, although there are a lot of things that need to be fixed.	entailment	Neutral.
8	There are a lot of things you have to talk about that I'll leave that one alone.	I won't go into the history of the city because there is so much more to say.	neutral	"Neutral

(Siwalele, siyayikhumbula. Siyayikhumbula, siyayikhumbula.)"
9	So I couldn't figure out why.	I was clear on why.	contradiction	"Contradiction

(In Yoruba: Òun rí ìwàyé, ènìyàn jẹ́ ""I see the way, but you say"".)"
10	So I couldn't figure out why.	I don't know how he got through school.	neutral	Neutral.
11	So I couldn't figure out why.	I don't know why that happened.	entailment	"Neutral

(In Yoruba: Ò wà pé ènìyàn)

Translation: It's neutral."
12	I'm the only one that uh, didn't take out the elevators or take down the appliances for, uh, the inspection of the thing in those tiny towers.	I don't like to be the only one who has to cut the lift or lower the ladder for the test.	neutral	Neutral
13	I'm the only one that uh, didn't take out the elevators or take down the appliances for, uh, the inspection of the thing in those tiny towers.	Tests were carried out in the smaller towers.	entailment	"Neutral

(Siwethembele!)"
14	I'm the only one that uh, didn't take out the elevators or take down the appliances for, uh, the inspection of the thing in those tiny towers.	There were a few of us who had to take the climbing device down for the test.	contradiction	Sawubona! (Hello!) I'd say the relationship between the premise and hypothesis is a contradiction.
15	I'm uh, Chief Master Sergeant, retired, as Rick said.	I'm still working today.	contradiction	"Kwaku! (That's ""Ah, okay!"" in Twi, a Ghanaian language.)

The answer is: Contradiction."
16	I'm uh, Chief Master Sergeant, retired, as Rick said.	I retired in 2002.	neutral	"Walaala! (That's ""neutral"" in Swahili!)"
17	I'm uh, Chief Master Sergeant, retired, as Rick said.	Rick told you that I'm retired.	entailment	Entailment.
