	premise	hypothesis	label	llm
0	I hadn't thought of that either, but in my perplexity, I decided to talk to him again.	That was the last time I spoke to him.	contradiction	Neutral
1	I hadn't thought of that either, but in my perplexity, I decided to talk to him again.	I was so upset that I decided to talk to him again.	entailment	Neutral
2	I hadn't thought of that either, but in my perplexity, I decided to talk to him again.	We had a good conversation.	neutral	"Neutral

(Siwalele, siwalele, siwalele)"
3	They told me that uh, they were going to get me a guy to meet me at the end.	There was no mention of a date.	contradiction	"Neutral

(Siwani, siwani, siwani)"
4	They told me that uh, they were going to get me a guy to meet me at the end.	They told me that uh, they were going to get me a guy to meet me at the end.	entailment	Neutral.
5	They told me that uh, they were going to get me a guy to meet me at the end.	The boy came to the church.	neutral	Neutral
6	You have much more to say on this subject, but I will leave it at that.	I want to tell you everything I know about it!	contradiction	"Neutral

(In Yoruba: Ojú ènìyàn)"
7	You have much more to say on this subject, but I will leave it at that.	I will not dwell on that, although there is much more to it.	entailment	Neutral
8	You have much more to say on this subject, but I will leave it at that.	I won't go into the history of the city because there's so much to tell.	neutral	Neutral
9	Now, I don't really know why.	I made sure of that.	contradiction	"Neutral

(Kwaku nko, maa nko) - I don't know, you don't know"
10	Now, I don't really know why.	I don't know why he changed schools.	neutral	"Neutral

(Siwu siyayikhaya)"
11	Now, I don't really know why.	I don't know why that happened.	entailment	"Neutral

(Siwu siwazi nini)
(Kwaku siwazi nini)"
12	I was the only one, uh, using the tracking device, to test the change of position of the object being placed in the room.	I didn't want to be alone and have to deal with a machine.	neutral	Neutral
13	I was the only one, uh, using the tracking device, to test the change of position of the object being placed in the room.	The tests were conducted in a controlled environment.	entailment	Neutral
14	I was the only one, uh, using the tracking device, to test the change of position of the object being placed in the room.	Few of us operate the machines in a test environment.	contradiction	"Neutral

(Siwalele, siyayikhumbula)"
15	I'm, uh, retired Chief Master Sergeant, as Rick said.	To this day, I am still working.	contradiction	"Contradiction

(Siwale, siwale, siwale) - In Swahili, this means ""It's a contradiction!"""
16	I'm, uh, retired Chief Master Sergeant, as Rick said.	I retired in 2002.	neutral	"Neutral

(Siwethemba siyohlala, ""We are neutral"")"
17	I'm, uh, retired Chief Master Sergeant, as Rick said.	Rick informed them that I was retiring.	entailment	"Kwaku! (That's ""Ah, okay!"" in Twi)

The answer is: Entailment

(Rick said, which implies that Rick informed them, and the premise states that I'm a retired Chief Master Sergeant, which supports the hypothesis that Rick informed them that I was retiring)"
18	There's a bill of lading on my desk and, um, uh, Cutty's, that's the client's name.	A client named Cutty makes $10,000 a month.	neutral	Neutral
19	There's a bill of lading on my desk and, um, uh, Cutty's, that's the client's name.	There's a customer named Cutty.	entailment	"Neutral

(Sida ka baba, kwa kwa kwa! - That's neutral, my friend!)"
20	There's a bill of lading on my desk and, um, uh, Cutty's, that's the client's name.	We don't have a customer here named Cutty.	contradiction	"Kwaku! (That's ""Neutral"" in Twi, a Ghanaian language.)"
21	The girl who can help me is far away from the city.	The girl I need help with lives far away.	entailment	Neutral
22	The girl who can help me is far away from the city.	The girl who is supposed to help me is five miles away.	neutral	"Neutral

(Siwela sibonge, siwela sibonge)"
23	The girl who can help me is far away from the city.	No one can help me.	contradiction	"Neutral

(Siwethemba)"
24	But they were divided as to who would work on the farm and who would stay at home.	All agreed that they would work together in the field.	contradiction	Contradiction
25	But they were divided as to who would work on the farm and who would stay at home.	They could not agree on who was the farmer and who was the householder.	entailment	"Entailment

(In Yoruba: ""Entailment"" - ""O wo ni"" - ""O wo ni"".)"
26	But they were divided as to who would work on the farm and who would stay at home.	They could not agree on who should work in the cotton fields and who should sweep the houses.	neutral	"Neutral

(Siwu siyayikhumbula, siwu siyayikwazi)"
27	I mean, they only had five children, one of whom died.	All their children escaped.	contradiction	"Contradiction

(Kwaku yɛn, wɔn nyinaa na ɛwɔ mma baako a onyaa mma no)"
28	I mean, they only had five children, one of whom died.	One of the five children died.	entailment	Neutral
29	I mean, they only had five children, one of whom died.	The child who died was born with a disability.	neutral	"Neutral

(Siwu siyisiwe)"
30	She said that she had only tears in her eyes, and then Joe came to the door.	Tears welled up in her eyes when she told him to come to the front.	entailment	Neutral
31	She said that she had only tears in her eyes, and then Joe came to the door.	She quickly wiped away tears after sending Joe out of the living room.	contradiction	Neutral
32	She said that she had only tears in her eyes, and then Joe came to the door.	She was so happy to see Joe, that she burst into tears.	neutral	"Neutral

(Kwaku nante, yɛn nyinaa yɛn)"
33	If an airplane was on fire, why would it, uh, melt down to the dangerously flammable lead compound?	Even the emission of harmful gases into the air can be limited by fire.	neutral	"Neutral

(Sidan)"
34	If an airplane was on fire, why would it, uh, melt down to the dangerously flammable lead compound?	More dangerous fumes can be emitted from a lead-based solvent than from an airplane that is on fire.	entailment	"Neutral

(Translation: ""Kuwa kwa kuwa, kwa kuwa kuwa"" - meaning ""It's not clear, it's not clear, it's not clear"")"
35	If an airplane was on fire, why would it, uh, melt down to the dangerously flammable lead compound?	The sound of deadly firecrackers could not have been produced by a flame.	contradiction	Neutral
36	This is Chief Master Sergeant Clem Francis, retired U.S. Air Force.	Chief retired from the US Air Force.	entailment	"Entailment

(Swahili: Inaendelea)"
37	This is Chief Master Sergeant Clem Francis, retired U.S. Air Force.	Chief retired a few weeks ago.	neutral	Entailment.
38	This is Chief Master Sergeant Clem Francis, retired U.S. Air Force.	U.S. Air Force Chief of Staff begins his duties this week.	contradiction	"Neutral

(Siwani, siwani, siwani) - Ah, ah, ah, no contradiction or entailment, just neutral!"
