	premise	hypothesis	label	llm
0	Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.	I never spoke to him again.	contradiction	Entailment.
1	Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.	I was so upset that I abruptly spoke to him again.	entailment	Neutral.
2	Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.	We had a very good conversation.	neutral	"Contradiction

(In Yoruba: ṣe ẹkùn, ṣe ẹkùn)"
3	They told me, uh, that they would call me someone I would meet after all.	I wasn't told about my encounter with someone	contradiction	"Neutral

(Siwani, siwani, siwani...!)"
4	They told me, uh, that they would call me someone I would meet after all.	I was told that I would be summoned to meet a man.	entailment	Neutral.
5	They told me, uh, that they would call me someone I would meet after all.	The man was late arriving.	neutral	Neutral
6	There's a lot more you could say about that but I'll skip it.	I want to tell you all that I have learned about them!	contradiction	Neutral
7	There's a lot more you could say about that but I'll skip it.	I won't talk about it, although there is much to talk about.	entailment	Neutral.
8	There's a lot more you could say about that but I'll skip it.	I won't talk about the history of the city because there is too much to talk about.	neutral	"Neutral

(Siwethemba)"
9	However, I don't really know why.	I'm sure that's why.	contradiction	"Kwaku! (That's ""Ahah"" in Twi, a Ghanaian language)

The answer is: Contradiction"
10	However, I don't really know why.	I don't know why he left the schools.	neutral	"Neutral

(In Yoruba: O wón tó kí àkó sí, èyí tó wón sí)

Note: The premise ""However, I don't really know why"" is a statement about the speaker's uncertainty, while the hypothesis ""I don't know why he left the school"" is a statement about the speaker's lack of knowledge about a specific event. The two statements are not directly related, hence the answer is neutral."
11	However, I don't really know why.	I don't know why this happened	entailment	"Neutral

(In Yoruba: Oṣèlú, èṣẹlẹ)"
12	I'm the only one, oh, I've always used the controls for some of the air traffic controls.	I don't like to be the only one who observes the mechanics controlling the rate of operation of other space probes.	neutral	"Neutral

( Swahili: Hali ya kati )

Note: The premise and hypothesis are unrelated, and the premise does not provide any information that can be used to determine whether the hypothesis is true or false."
13	I'm the only one, oh, I've always used the controls for some of the air traffic controls.	Experiments carried out at the facility explore the proper navigation of space	entailment	Neutral
14	I'm the only one, oh, I've always used the controls for some of the air traffic controls.	Only a few of us checked the controls of other machines.	contradiction	"Neutral

(Swahili: Hali ya kati)

Note: The premise states that the speaker has used controls for some air traffic controls, while the hypothesis states that only a few people checked the controls of other machines. The two statements do not necessarily relate to each other, so the hypothesis is not necessarily entailed, contradicted, or supported by the premise."
15	I'm uh, Chief Master Sergeant, retired, as Rick said.	I am still working today	contradiction	"Kwaku! (That's ""Ahah"" in Twi)

The answer is: Contradiction"
16	I'm uh, Chief Master Sergeant, retired, as Rick said.	In 2002, I went on a hunger strike.	neutral	"Neutral

(Siwethemba)"
17	I'm uh, Chief Master Sergeant, retired, as Rick said.	Rick told you I'd be at lunch and sit down.	entailment	"Neutral

(Siwalele, siyayikhuluma, siyayikhuluma)"
18	There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.	A customer named Cutty makes $10,000 a month	neutral	"Neutral

(Ini yini, hayi yini, hayi yini)"
19	There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.	There's a customer named Cutty.	entailment	"Entailment

(Siwethemba, siwelela!)"
20	There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.	We don't have a customer named Cutty.	contradiction	Contradiction
21	The girl who can help me lives in the southern part of town.	The girl I want to help me lives far away.	entailment	"Contradiction

(Sisi, kuthetha ukuthi ingane ongafunyanini ukuthetha ngoku, ngoba ingane ongafunyanini ukuhlala kwaqubuzana.)"
22	The girl who can help me lives in the southern part of town.	The girl who will help me lives five miles from here.	neutral	"Neutral

(Kwaku nko, maa yɛn nko, yɛn yɛn nko)

Translation: It's neutral, my friend, it's neutral, we're neutral."
23	The girl who can help me lives in the southern part of town.	No one can help me.	contradiction	"Contradiction

(Si, in Yoruba)"
24	But they were divided as to whether they were farm workers or domestic workers, as it were.	They all agreed to work in the fields.	contradiction	"Neutral

(Asante sana!)"
25	But they were divided as to whether they were farm workers or domestic workers, as it were.	They could not agree on who was the field worker and who was the domestic worker.	entailment	Entailment
26	But they were divided as to whether they were farm workers or domestic workers, as it were.	They could not agree on who should work in the cotton field and who should do the housework.	neutral	Entailment
27	I mean, they only had, like, five children, one of whom died.	All their offspring survived.	contradiction	Contradiction
28	I mean, they only had, like, five children, one of whom died.	One of the five children died.	entailment	"Neutral

(Siwu siyayikhona, siyayikhona)"
29	I mean, they only had, like, five children, one of whom died.	The stillborn child was born sick.	neutral	"Neutral

(Kwaku yebo, maa! - It is neutral, my friend!)"
30	She said it was just tears streaming from her eyes and then she said, and then Joe came up to the porch.	When she told him to come to the balcony, the woman's eyes welled up with tears.	entailment	Neutral.
31	She said it was just tears streaming from her eyes and then she said, and then Joe came up to the porch.	A woman quickly wiped away her tears after pushing Joe off the balcony	contradiction	Neutral.
32	She said it was just tears streaming from her eyes and then she said, and then Joe came up to the porch.	She was so happy to see Joe that she burst into tears.	neutral	Neutral
33	Although the plane was on fire, it was burning, melting, and radiating radiation	Radiation can be prevented by fire prevention as well	neutral	Contradiction
34	Although the plane was on fire, it was burning, melting, and radiating radiation	Radiation was emitted from the metal when the plane caught fire	entailment	"Entailment

(Siwethemba siyohlala, ""We understand, we understand"")

In Yoruba: ""Oriki yin ti yin fi oruko re, ""We understand, we understand"")

In Zulu: ""Ngiyabonga, ngiyabonga, ""We understand, we understand"")"
35	Although the plane was on fire, it was burning, melting, and radiating radiation	The rays did not flash during the heat of the fire	contradiction	"Contradiction

(In Swahili: Hakuna maana)"
36	I'm retired Chief Master Sergeant Clem Francis of the US Air Force.	Retired Chief of the US Air Force.	entailment	Entailment.
37	I'm retired Chief Master Sergeant Clem Francis of the US Air Force.	Chief just retired a few weeks ago.	neutral	Entailment
38	I'm retired Chief Master Sergeant Clem Francis of the US Air Force.	The US Air Force Chief of Staff will begin his new assignment this week.	contradiction	"Neutral

(Siya kelela, kelela kelela, kelela) - In Swahili, ""Neutral"" means ""Siya kelela"" which translates to ""It's okay, it's okay, it's okay""."
39	It came to the point that two or three airplanes arrived in one week and I did not know where they were going.	More than one airplane arrives each week.	entailment	Entailment
40	It came to the point that two or three airplanes arrived in one week and I did not know where they were going.	Increased air travel is causing problems.	neutral	"Entailment

(Swahili: Inaenda)"
41	It came to the point that two or three airplanes arrived in one week and I did not know where they were going.	No planes are ever arriving.	contradiction	Contradiction
42	They were trained to work in airtight suits, and it took me a while to put on airtight suits.	It takes up to three months to train pilots on their air-conditioning systems.	neutral	"Neutral

(Swahili: Haina uhusiano)"
43	They were trained to work in airtight suits, and it took me a while to put on airtight suits.	It takes time to learn the instruments used by pilots.	entailment	"Neutral

(Swahili: Hali ya kati)

Note: The premise talks about putting on airtight suits, which is related to pilots, but it doesn't directly support or contradict the hypothesis about learning instruments used by pilots."
44	They were trained to work in airtight suits, and it took me a while to put on airtight suits.	At the end of the day, we may have instructed you in the use of the space suit worn by pilots.	contradiction	Neutral
45	I would like to say that it was safe to enter with a land mine because it will not explode even if it hits the ground hard.	The mine had been destroyed by the explosion of the pilot.	neutral	Contradiction
46	I would like to say that it was safe to enter with a land mine because it will not explode even if it hits the ground hard.	The mine had no chance of detonating.	entailment	Entailment
47	I would like to say that it was safe to enter with a land mine because it will not explode even if it hits the ground hard.	There was a great danger of a land mine explosion.	contradiction	Contradiction
48	That's exactly what it looks like I'm trying to do.	I don't know how it looks to you.	contradiction	Contradiction
49	That's exactly what it looks like I'm trying to do.	I'm trying to do this, obviously.	entailment	Wawili! (That's a yes!) The answer is: Entailment.
50	That's exactly what it looks like I'm trying to do.	I am trying to finish my work within the next week.	neutral	"Wena wena! (What's the answer?)

I would say: Entailment

(In Zulu, ""entailment"" would be ""ukuthola"" or ""ukuthola ngokuthola"")"
51	Nevertheless, animals are lost all the time, especially goats.	The goats were weaned from the flock each day.	neutral	"Neutral

(In Yoruba: O ni kan, è sì nikan.)"
52	Nevertheless, animals are lost all the time, especially goats.	The goats were often fertile.	entailment	"Neutral

(Kwaku wena, kwa nini? - What's the reason?)"
53	Nevertheless, animals are lost all the time, especially goats.	The goats were protected and safe.	contradiction	Contradiction
54	The doors were locked when we entered.	All the doors were wide open.	contradiction	"Contradiction

(Siwani, siyayikhuluma isiNdebele)"
55	The doors were locked when we entered.	We had the dictionary.	neutral	Neutral
56	The doors were locked when we entered.	We went inside even though the doors were locked.	entailment	Entailment
57	So I tried to take the amount available and try to treat it as such.	I am confident that the total number is exactly what I want this to look like.	neutral	Neutral
58	So I tried to take the amount available and try to treat it as such.	I have no idea what to do with the data itself please give me more information so that I can see without stopping correctly.	contradiction	Neutral.
59	So I tried to take the amount available and try to treat it as such.	I'll count and use the available figures.	entailment	"Neutral

(Asante sana!)"
60	and in many cases the mother's drug use is the cause.	Wives have become addicted to drugs.	neutral	Neutral
61	and in many cases the mother's drug use is the cause.	The mothers are not on medication or drug regimens.	contradiction	"Contradiction

(Swahili: ""Hali ya kifunguoni"")"
62	and in many cases the mother's drug use is the cause.	Children of mothers who are taking drugs	entailment	"Entailment

(In Yoruba: ""ṣe o ṣe, a fi ẹṣinṣin ṣe"")"
63	Yes, it was all right for it to rain.	I don't care about getting better.	neutral	"Neutral

(Siwé siyaya, ngibonga ngicela ukuthi siyaya ngicela ukuthi siyaya)"
64	Yes, it was all right for it to rain.	Here it is beautiful and raining.	entailment	"Neutral

(In Swahili: Hali hii ni neutral)

Note: The premise expresses an opinion about the rain, while the hypothesis describes the current weather. The two statements are not logically connected, making the relationship between them neutral."
65	Yes, it was all right for it to rain.	It is especially hot in the continually hot sun.	contradiction	"Neutral

(Translation: ""Ndiyo, siwezi kubali"" in Swahili)"
66	A person's life is precious and whether you want to help someone or not	Every life deserves to be reshaped and shaped on character and given a second chance.	neutral	"Neutral

(Siwethemba)"
67	A person's life is precious and whether you want to help someone or not	No one deserves to benefit from being molded by nature.	contradiction	"Neutral

(Siwalele, siwalele, siwalele, siwalele, siwalele, siwalele, siwalele, siwalele, siwalele, siwalele)"
68	A person's life is precious and whether you want to help someone or not	Rather than benefiting and shaping on the values that life is worth as well.	entailment	"Neutral

(Kwaku nini, kwa kwa, kwa kwa)"
69	You've got a wiring problem there, boy.	I've never seen a wire problem like this	neutral	Contradiction
70	You've got a wiring problem there, boy.	The wiring issue is not the problem.	contradiction	Contradiction
71	You've got a wiring problem there, boy.	There is a problem with the lack of wires.	entailment	"Wena! (What's up?)

The answer is: Entailment."
72	It seems interesting to me that they tolerate so much.	I'm not surprised that they were compassionate	contradiction	"Neutral

(Siwethemba)"
73	It seems interesting to me that they tolerate so much.	I'm surprised they let you take food and drink there.	neutral	Neutral.
74	It seems interesting to me that they tolerate so much.	I wonder what they can get away with without being arrested.	entailment	"Neutral

(Kwaku kwa kwa, kofi na kofi)"
75	Oh anyway anyway my kids are one is 21 and one is 24 so I don't	My children are in their early 20's.	entailment	Entailment
76	Oh anyway anyway my kids are one is 21 and one is 24 so I don't	Perhaps it is because they are so close in age.	neutral	"Neutral

(Siwé siyayé, siyayé siyayé, ngwana wa ke 21 ke 24, ke ngwana wa ke e ka thuso)

Translation: Ah, anyway, anyway, my child is 21 and 24, so my child is like that)"
77	Oh anyway anyway my kids are one is 21 and one is 24 so I don't	I have to act like that because they all say one is eleven eleven years old.	contradiction	"Neutral

(Kwaku nna, yenye na yenye, yenye nna yenye, yenye yenye)"
78	Yes, people can be part-time workers or have unsound ideas if they are empowered to express their opinions.	Yes, humans are incapable of producing useful ideas when they are needed.	entailment	"Neutral

(In Yoruba: Ojú àṣẹ lóòtọ̀)"
79	Yes, people can be part-time workers or have unsound ideas if they are empowered to express their opinions.	Yes, people may not be hungry.	neutral	Neutral
80	Yes, people can be part-time workers or have unsound ideas if they are empowered to express their opinions.	Yes, people who are not mentally disabled.	contradiction	"Neutral

(Translation: ""Ee ke leboga"" - ""It's okay"")"
81	No, they are just visiting, as they have been since the late 1960's.	They have been visitors since before 1970.	entailment	"Entailment

(Siwale, siyayikhuluma isiNdebele)"
82	No, they are just visiting, as they have been since the late 1960's.	They enjoy the visit.	neutral	"Neutral

(Siwalele, siyayikhuluma isiXhosa)"
83	No, they are just visiting, as they have been since the late 1960's.	They have just finished their visit.	contradiction	Contradiction
84	How do you do your aerobics?	Can you explain how you would do aerobics?	entailment	"Neutral

(Kwaku nini wewe unafanya aerobics? Hypothesis: Naweza kuandika jinsi unavyofanya aerobics?)"
85	How do you do your aerobics?	I like aerobics because I want to strengthen my cardiovascular system.	neutral	"Neutral

(Translation: ""Kwaku kwa? - Ndi nkhono kwa aerobics, ndi ndi nkhono kwa kuza kwa kuza kwa kuza."")"
86	How do you do your aerobics?	Please don't talk about aerobics.	contradiction	Neutral
87	No, that's something I hadn't thought of before.	Those are the foolish ideas that I rejected last week.	contradiction	"Neutral

(In Yoruba: Ojú kan)"
88	No, that's something I hadn't thought of before.	That is a good idea.	entailment	"Neutral

(In Yoruba: Oṣèṣe kí yìí, ṣùgbọ́n ènìyàn ti wà n ṣe)

(Note: ""Oṣèṣe kí yìí"" means ""it's neutral"", and ""ṣùgbọ́n ènìyàn ti wà n ṣe"" is a phrase that roughly translates to ""it's not for or against something"")"
89	No, that's something I hadn't thought of before.	The confusion you mentioned is a good point.	neutral	"Neutral

(Translation: ""Hakuna hii, siwezi kusema."" - I don't know, I can't say.)"
90	Dambanevana two days a week called it a day of care for senior citizens while the woman goes to a senior citizens center.	The nursery is open daily only to children under five years of age.	contradiction	Neutral
91	Dambanevana two days a week called it a day of care for senior citizens while the woman goes to a senior citizens center.	They allow them to go more than twice a week if adult citizens agree to it.	neutral	Neutral
92	Dambanevana two days a week called it a day of care for senior citizens while the woman goes to a senior citizens center.	They consider it as a day to care for senior citizens but it is called a senior citizens center.	entailment	Entailment.
93	This was their aim oh.	This was their zeal.	entailment	Neutral
94	This was their aim oh.	This was not their original intention.	contradiction	Contradiction
95	This was their aim oh.	They succeeded in their goal.	neutral	"Entailment

(Translation: ""Zanele kuthi"" in Zulu)"
96	The ability to handle a gun safely using both hands	Half the times a gun misses a shot is due to the use of one hand.	neutral	"Neutral

(Swahili: Haina uhusiano)"
97	The ability to handle a gun safely using both hands	The best way to advance in gun control is to use both legs.	contradiction	Neutral
98	The ability to handle a gun safely using both hands	Use both hands when practicing firearm control.	entailment	"Entailment.

(Translation: ""Entailment"" in Yoruba is ""Awo"".)"
