	premise	hypothesis	label	llm
0	To be honest, I hadn't even thought of that, but I had a hard time until I finally spoke to her.	I haven't spoken to him	contradiction	"Neutral

(Siwili siyona, ngumntu wena wena)"
1	To be honest, I hadn't even thought of that, but I had a hard time until I finally spoke to her.	I was so nervous when I finally met him	entailment	"Neutral

(In Yoruba: Ojú ènìyàn, ènìyàn ènìyàn)"
2	To be honest, I hadn't even thought of that, but I had a hard time until I finally spoke to her.	we talked a lot	neutral	Neutral.
3	They said I was a virgin and they were going to bring a man to meet me.	no one can tell me to meet anyone	contradiction	Contradiction
4	They said I was a virgin and they were going to bring a man to meet me.	He told me he called me once to meet him	entailment	Neutral.
5	They said I was a virgin and they were going to bring a man to meet me.	the man hadn't come at the time	neutral	"Entailment

(In Yoruba: ""Entailment ni"" - Entailment yin)"
6	I have much more to say to you, but you do not need to write it down now.	I wanted to tell you everything I know about the case	contradiction	"Neutral

(Siwethemba, kuthetha ukuthi ""I have much more to say to you"" ngokuthetha ukuthi ""I wanted to tell you everything I know about the case"", kodwa isikhathi esingekho ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha ukuthetha uk"
7	I have much more to say to you, but you do not need to write it down now.	I will not say this on my own, because there are many who are trying to persuade me.	entailment	"Neutral

(Si)"
8	I have much more to say to you, but you do not need to write it down now.	I won't talk about the city council because there's too much to say about it	neutral	"Neutral

(Si)"
9	so I don't really know why	I know the reason	contradiction	Contradiction
10	so I don't really know why	I don't know why he changed schools	neutral	"Neutral.

(Siwani, siwani, siwani - Ah, ah, ah - In Swahili, ""neutral"" means ""ah, ah, ah"", a phrase used to express a lack of strong opinion or a neutral stance.)"
11	so I don't really know why	I don't know why	entailment	"Neutral

(In Yoruba: O dà, ènìyàn mọ̀)

Translation: It's neutral."
12	I alone could have been responsible for maintaining the balance of power in the lower chambers	I didn't want to be the only one who used the measuring device for the figures	neutral	"Kwaku! (That's ""neutral"" in Twi, a Ghanaian language.)"
13	I alone could have been responsible for maintaining the balance of power in the lower chambers	the arts in the lower rooms were his main occupation	entailment	"Neutral

(In Yoruba: Ojú ènìyàn, ènìyàn ènìyàn)

Translation: It's neutral."
14	I alone could have been responsible for maintaining the balance of power in the lower chambers	some of them were running in our race with the measuring device for the figures	contradiction	Neutral
15	as rick said, i was a senior defense attorney	I'll work until the next day	contradiction	"Neutral

(Khona ukuthi, ngokuthula, ngokuthula, ngokuthula)"
16	as rick said, i was a senior defense attorney	I graduated in 2002	neutral	"Neutral.

(Translation: ""Kwaku, kɛnɛ, kɔnɔnɔ, ɛnɔnɔ"" - It is neutral.)"
17	as rick said, i was a senior defense attorney	Did Rick tell you how I felt?	entailment	"Neutral

(Siwani, siwani, siwani... Ah, ah, ah... Neutral, siwani!)"
18	there's a computer in my office, yes, it's owned by this client Cutty	client Cutty earns $10,000 a month	neutral	"Neutral

(Sidanisi, ""Neutral"" in Yoruba)"
19	there's a computer in my office, yes, it's owned by this client Cutty	there is a client named Cutty	entailment	"Entailment

(In Yoruba: Ènìtàlìmì)"
20	there's a computer in my office, yes, it's owned by this client Cutty	we don't have a client named Cutty	contradiction	"Kwaku, maa! (That's ""Ah, okay!"" in Twi, a Ghanaian language)

The answer is: Contradiction."
21	the girl who can help me is on the beach	the girl whose help I need is far away from here	entailment	"Neutral

(Siwani, siyaya kwa lelweni)"
22	the girl who can help me is on the beach	the girl I'm helping lives a thousand kilometers away	neutral	"Neutral

(Siwani, siwani, siwani - Afrikaans: Neutraal, neutrál, neutral)"
23	the girl who can help me is on the beach	there is no one who can help me	contradiction	"Contradiction

(In Yoruba: ṣe ọjọ́)"
24	but there was a dispute between the lawyers and the family members	they all agreed to work together in the fields	contradiction	Contradiction
25	but there was a dispute between the lawyers and the family members	they couldn't agree on who was the manager and who was the landlord	entailment	"Neutral

(Siwani, siwani) - In Yoruba, ""neutral"" means ""neutral""."
26	but there was a dispute between the lawyers and the family members	they could not agree on who should work on the altar and who should take care of the crosses	neutral	"Neutral

(Swahili: Haina uhusiano)"
27	We had five brothers, one of whom is now dead, and the other one is living.	all the children are alive	contradiction	"Contradiction

(Siwalele, in Yoruba)"
28	We had five brothers, one of whom is now dead, and the other one is living.	one in five of the children she raised would die	entailment	"Entailment

(In Yoruba: ""Entailment"" - ""Entailment"" - ""Entailment"")"
29	We had five brothers, one of whom is now dead, and the other one is living.	the dead child was born with a fever	neutral	"Neutral

(Siwalele, siyabonga!)"
30	she said her tears were flowing as soon as she said that joe had arrived at the port	as he was talking he went up to the post office, his eyes were bright	entailment	Neutral
31	she said her tears were flowing as soon as she said that joe had arrived at the port	he quickly wiped away his tears as he pulled Joe out of the porch	contradiction	"Neutral

(Kwaku yebo, maa!)"
32	she said her tears were flowing as soon as she said that joe had arrived at the port	She was so happy to see Joe that she started crying.	neutral	"Entailment

(In Yoruba: È sùn)"
33	if the oil tank was still burning, why did it explode or burst into flames to save itself	the tool survived the fire	neutral	Contradiction
34	if the oil tank was still burning, why did it explode or burst into flames to save itself	the explosion device escaped the explosion pole due to the oil leak	entailment	"Neutral

(Translation: ""Ko kwa kwa, kwa kwa, kwa kwa"" - meaning ""It's neutral, neutral, neutral"" in Yoruba)"
35	if the oil tank was still burning, why did it explode or burst into flames to save itself	the lighting device cannot be rescued if a language is started	contradiction	"Neutral

(Note: I'll respond in Yoruba, ""O wọn ẹgbẹrẹ, o wọn ẹgbẹrẹ, o wọn ẹgbẹrẹ"" which means ""It's neutral"")"
36	This is Clem Francis, a U.S. Air Force intelligence officer.	U.S. Air Force officer	entailment	"Entailment

(Translation: ""Ee kwa kwa"" in Yoruba)"
37	This is Clem Francis, a U.S. Air Force intelligence officer.	the president was elected only a few weeks ago	neutral	"Neutral

(Kwaku n'anya, kofi n'anya, kofi)"
38	This is Clem Francis, a U.S. Air Force intelligence officer.	the current U.S. Secretary of Defense has just started his new job	contradiction	"Neutral

(Swahili: Haina uhusiano)"
39	Yes, the time has come when we arrive two or three times a week, I don't know how long we'll be staying	more than one plane will arrive next week	entailment	"Neutral

(Kwaku kwa? Kwaku kwa!)"
40	Yes, the time has come when we arrive two or three times a week, I don't know how long we'll be staying	the amount of oil in the plane quickly evaporates	neutral	Neutral
41	Yes, the time has come when we arrive two or three times a week, I don't know how long we'll be staying	there is no oil that can reach	contradiction	Neutral
42	we even had some practice to test the device but it took a little longer	it will take three months to complete the training for the operation of the aircraft	neutral	Neutral
43	we even had some practice to test the device but it took a little longer	the amount of time it took to test the use of the space shuttle was too long	entailment	"Neutral

(Ini yena)"
44	we even had some practice to test the device but it took a little longer	We can train you so that you can use, here and at night, the wearable to climb into the sky	contradiction	Neutral
45	I mean that there is no uncertainty about the density of the atmosphere because it does not depend on the temperature of the earth	the horseman paid for it	neutral	Neutral
