	premise	hypothesis	label	llm
0	Well, I didn't think about that either, but I didn't like it, so I went back and talked to him.	I did not say another word.	contradiction	<pad> entailment</s>
1	Well, I didn't think about that either, but I didn't like it, so I went back and talked to him.	I was so nervous that I just started talking to her again.	entailment	<pad> entailment</s>
2	Well, I didn't think about that either, but I didn't like it, so I went back and talked to him.	We had a heated argument.	neutral	<pad> entailment</s>
3	I was told that when they finished, they would bring me the one whom I would meet.	I wasn't told that I'd ever meet anyone.	contradiction	<pad> contradiction</s>
4	I was told that when they finished, they would bring me the one whom I would meet.	I was told that a young man was called to meet me.	entailment	<pad> entailment</s>
5	I was told that when they finished, they would bring me the one whom I would meet.	It took him a while to get here.	neutral	<pad> contradiction</s>
6	We have much to say about this, but I am unable to venture to speak in detail.	I would like to tell you everything I know about him.	contradiction	<pad> entailment</s>
7	We have much to say about this, but I am unable to venture to speak in detail.	With regard to these matters, I fear that you will be greatly distressed at what I am about to write to you.	entailment	<pad> entailment</s>
8	We have much to say about this, but I am unable to venture to speak in detail.	I won't go into the history of that city because there's too much to say about it.	neutral	<pad> entailment</s>
9	So I don't really know why.	That's not why it happened.	contradiction	<pad> entailment</s>
10	So I don't really know why.	I don't know why he left school.	neutral	<pad> entailment</s>
11	So I don't really know why.	I don't know why he left school.	entailment	<pad> entailment</s>
12	I'm the only one who can do the uh, the repair work, the cold-room test.	I'm glad I'm the only one who can use the keyboard for the tests.	neutral	<pad> entailment</s>
13	I'm the only one who can do the uh, the repair work, the cold-room test.	The tests were conducted in the cold room.	entailment	<pad> entailment</s>
14	I'm the only one who can do the uh, the repair work, the cold-room test.	Some of us ran off with the corrections for the test.	contradiction	<pad> contradiction</s>
15	I'm not, uh, a retired police officer, as Rick said.	I'm still working today.	contradiction	<pad> entailment</s>
16	I'm not, uh, a retired police officer, as Rick said.	I retired in 2002.	neutral	<pad> contradiction</s>
17	I'm not, uh, a retired police officer, as Rick said.	Rick told you I was resting.	entailment	<pad> entailment</s>
18	I have some credit cards on my desk and, yes, they belong to a Cutty machin-chose, as the businessman is called.	Cutty's monthly salary was $10,000	neutral	<pad> entailment</s>
19	I have some credit cards on my desk and, yes, they belong to a Cutty machin-chose, as the businessman is called.	I had a brother named Cutty	entailment	<pad> entailment</s>
20	I have some credit cards on my desk and, yes, they belong to a Cutty machin-chose, as the businessman is called.	We had no customers other than Cutty.	contradiction	<pad> entailment</s>
21	The girl who can help me is on the other side of town.	The virgin who needed my help gave birth to a child here.	entailment	<pad> contradiction</s>
22	The girl who can help me is on the other side of town.	The girl who will help me is 5 miles from here.	neutral	<pad> entailment</s>
23	The girl who can help me is on the other side of town.	No one could help me.	contradiction	<pad> entailment</s>
24	They do not distinguish between those who go out in the field and those who are part of the household, but the difference is...	They urged them to work in the vineyards.	contradiction	<pad> entailment</s>
25	They do not distinguish between those who go out in the field and those who are part of the household, but the difference is...	They could not agree among themselves as to which of them would be the gardener and which the householder.	entailment	<pad> entailment</s>
26	They do not distinguish between those who go out in the field and those who are part of the household, but the difference is...	So the disciples began to wonder among themselves which of them would be the one to pick it up.	neutral	<pad> entailment</s>
27	I mean, they had five children, one of whom died.	All their children survived.	contradiction	<pad> contradiction</s>
28	I mean, they had five children, one of whom died.	One out of every five babies is stillborn.	entailment	<pad> entailment</s>
29	I mean, they had five children, one of whom died.	The child who died was born with a disability.	neutral	<pad> entailment</s>
30	She said she had tears in her eyes, and they said that Joe had come to the rescue.	As he spoke, tears welled up in his eyes.	entailment	<pad> entailment</s>
